rule_id,visual,model_output,groundtruth
100,circle,Characters inside the circle in the image are characters that have a loop or circular shape.,contain a closed loop or enclosed space
100,color,Characters colored red in the image are characters that have a loop or enclosed area.,contain a closed loop or enclosed space
100,leftright,Characters on the right side in the image are characters that have a loop or enclosed area.,contain a closed loop or enclosed space
101,circle,Characters inside the circle in the image are characters that have a loop or circular shape.,are shaped like the letter S or have an S influence
101,color,Characters colored red in the image are characters that have a small loop or circle at the top.,are shaped like the letter S or have an S influence
101,leftright,Characters on the right side in the image are characters that have a horizontal line at the top.,are shaped like the letter S or have an S influence
102,circle,Characters inside the circle in the image are characters that have a loop or circular shape.,are symmetrical around a vertical axis
102,color,Characters colored red in the image are characters that have a loop at the bottom.,are symmetrical around a vertical axis
102,leftright,Characters on the right side in the image are characters that have a vertical line on the right side.,are symmetrical around a vertical axis
103,circle,Characters inside the circle in the image are characters that have a vertical line.,represent the letter U or W 
103,color,Characters colored red in the image are characters that have a loop or circular shape as part of their structure.,represent the letter U or W 
103,leftright,Characters on the right side in the image are characters that contain a loop.,represent the letter U or W 
104,circle,Characters inside the circle in the image are characters that contain a loop.,have a base shape of M or W or resemble an M or W
104,color,Characters colored red in the image are characters that contain a loop or circle.,have a base shape of M or W or resemble an M or W
104,leftright,Characters on the right side in the image are characters that have a loop or a closed curve.,have a base shape of M or W or resemble an M or W
105,circle,Characters inside the circle in the image are characters that have a vertical line.,are larger than most others or extend beyond the central square
105,color,Characters colored red in the image are characters that have a loop or enclosed area.,are larger than most others or extend beyond the central square
105,leftright,Characters on the right side in the image are characters that have a vertical line on the right side.,are larger than most others or extend beyond the central square
106,circle,Characters inside the circle in the image are characters that have a loop or circular shape.,"are shaped like an approximate B, 3, or E shape, which may be flipped"
106,color,Characters colored red in the image are characters that have a loop or enclosed area at the top.,"are shaped like an approximate B, 3, or E shape, which may be flipped"
106,leftright,Characters on the right side in the image are characters that contain a loop.,"are shaped like an approximate B, 3, or E shape, which may be flipped"
107,circle,Characters inside the circle in the image are characters that have a vertical line.,resemble a lowercase N or have an N shape
107,color,Characters colored red in the image are characters that have a vertical line on the right side.,resemble a lowercase N or have an N shape
107,leftright,Characters on the right side in the image are characters that have a loop or enclosed area at the top.,resemble a lowercase N or have an N shape
108,circle,Characters inside the circle in the image are characters that have a loop or circular shape.,require multiple strokes of the pen to be written
108,color,Characters colored red in the image are characters that have a loop or enclosed area.,require multiple strokes of the pen to be written
108,leftright,Characters on the right side in the image are characters that have a loop or circle at the top.,require multiple strokes of the pen to be written
109,circle,Characters inside the circle in the image are characters that contain a circle.,resemble a phallus or penis
109,color,Characters colored red in the image are characters that contain a heart shape.,resemble a phallus or penis
109,leftright,Characters on the right side in the image are characters that contain a vertical line intersecting a circle.,resemble a phallus or penis
10,circle,Characters inside the circle in the image are characters that contain a vertical line.,have a horizontal cross stroke creating 4 quadrants
10,color,Characters colored red in the image are characters that contain a cross or plus sign.,have a horizontal cross stroke creating 4 quadrants
10,leftright,Characters on the right side in the image are characters that contain a horizontal line.,have a horizontal cross stroke creating 4 quadrants
110,circle,Characters inside the circle in the image are characters that contain a circle with a cross inside it.,have circular shapes or contain circles
110,color,Characters colored red in the image are characters that contain a circle with a cross inside it.,have circular shapes or contain circles
110,leftright,Characters on the right side in the image are characters that contain a circle with a cross inside.,have circular shapes or contain circles
111,circle,Characters inside the circle in the image are characters that contain horizontal lines.,are composed of three or more separate pieces that do not touch
111,color,"Characters colored red in the image are characters that contain an ""X"" shape.",are composed of three or more separate pieces that do not touch
111,leftright,Characters on the right side in the image are characters that contain at least one horizontal line.,are composed of three or more separate pieces that do not touch
112,circle,"Characters inside the circle in the image are characters that contain an ""X"" shape.","have angry eyebrows, indicated by small wavy or zigzag lines above a horizontal line on the top of the character"
112,color,"Characters colored red in the image are characters that contain three consecutive ""V"" shapes stacked vertically.","have angry eyebrows, indicated by small wavy or zigzag lines above a horizontal line on the top of the character"
112,leftright,"Characters on the right side in the image are characters that contain a double ""X"" shape.","have angry eyebrows, indicated by small wavy or zigzag lines above a horizontal line on the top of the character"
113,circle,Characters inside the circle in the image are characters that contain a cross or plus sign.,have horizontal symmetry
113,color,Characters colored red in the image are characters that contain a cross or plus sign.,have horizontal symmetry
113,leftright,Characters on the right side in the image are characters that contain a circle.,have horizontal symmetry
114,circle,Characters inside the circle in the image are characters that contain at least one horizontal line.,"have separated or disconnected parts, with spaces or breaks between the different elements"
114,color,Characters colored red in the image are characters that contain at least one horizontal line.,"have separated or disconnected parts, with spaces or breaks between the different elements"
114,leftright,Characters on the right side in the image are characters that contain at least one horizontal line.,"have separated or disconnected parts, with spaces or breaks between the different elements"
115,circle,Characters inside the circle in the image are characters that contain a caret (^) shape.,are hidden under a curved arc or dome shape spanning the entire length of the characters
115,color,Characters colored red in the image are characters that contain an arch shape.,are hidden under a curved arc or dome shape spanning the entire length of the characters
115,leftright,Characters on the right side in the image are characters that contain an arch shape.,are hidden under a curved arc or dome shape spanning the entire length of the characters
116,circle,Characters inside the circle in the image are characters that contain a circle.,have multiple loops or enclosed areas
116,color,"Characters colored red in the image are characters that contain at least one enclosed shape (such as a circle, rectangle, or heart).",have multiple loops or enclosed areas
116,leftright,Characters on the right side in the image are characters that contain a circle.,have multiple loops or enclosed areas
117,circle,Characters inside the circle in the image are characters that contain a horizontal line.,are made up of only horizontal and vertical lines with no curves or diagonal lines and only right angles
117,color,Characters colored red in the image are characters that contain at least one horizontal line.,are made up of only horizontal and vertical lines with no curves or diagonal lines and only right angles
117,leftright,Characters on the right side in the image are characters that contain at least one horizontal line.,are made up of only horizontal and vertical lines with no curves or diagonal lines and only right angles
118,circle,Characters inside the circle in the image are characters that contain a horizontal line.,"have a closed loop or circular element, which may be crossed over itself in a swirl motion or formed by a line bisecting itself"
118,color,Characters colored red in the image are characters that contain a horizontal line at the top.,"have a closed loop or circular element, which may be crossed over itself in a swirl motion or formed by a line bisecting itself"
118,leftright,Characters on the right side in the image are characters that contain a small circle or dot.,"have a closed loop or circular element, which may be crossed over itself in a swirl motion or formed by a line bisecting itself"
119,circle,Characters inside the circle in the image are characters that contain a horizontal line.,"have a large curve that descends from the left of the top horizontal line and turns downward to the right, like a large C with the center of gravity in the middle of the character"
119,color,Characters colored red in the image are characters that contain a curved line.,"have a large curve that descends from the left of the top horizontal line and turns downward to the right, like a large C with the center of gravity in the middle of the character"
119,leftright,Characters on the right side in the image are characters that contain a loop or circular shape.,"have a large curve that descends from the left of the top horizontal line and turns downward to the right, like a large C with the center of gravity in the middle of the character"
11,circle,Characters inside the circle in the image are characters that contain at least one closed loop.,require lifting the pen during drawing
11,color,Characters colored red in the image are characters that contain a horizontal line.,require lifting the pen during drawing
11,leftright,Characters on the right side in the image are characters that contain at least one loop or circular shape.,require lifting the pen during drawing
120,circle,Characters inside the circle in the image are characters that have a horizontal line at the top.,have concave sides and are bounded by opposing curved lines on the left and right
120,color,Characters colored red in the image are characters that have a horizontal line at the top.,have concave sides and are bounded by opposing curved lines on the left and right
120,leftright,Characters on the right side in the image are characters that contain a horizontal line at the top.,have concave sides and are bounded by opposing curved lines on the left and right
121,circle,Characters inside the circle in the image are characters that contain a horizontal line.,do not have a top horizontal line or flat line on the top
121,color,Characters colored red in the image are characters that contain a loop or circular shape.,do not have a top horizontal line or flat line on the top
121,leftright,Characters on the right side in the image are characters that contain a loop or circular shape.,do not have a top horizontal line or flat line on the top
122,circle,Characters inside the circle in the image are characters that contain a horizontal line.,can be written in one stroke without lifting the pen or retracing
122,color,Characters colored red in the image are characters that contain a curved line.,can be written in one stroke without lifting the pen or retracing
122,leftright,Characters on the right side in the image are characters that contain a loop or circular shape.,can be written in one stroke without lifting the pen or retracing
123,circle,Characters inside the circle in the image are characters that contain a horizontal line.,have vertical and horizontal symmetry
123,color,Characters colored red in the image are characters that contain a vertical line with a horizontal line on each side.,have vertical and horizontal symmetry
123,leftright,Characters on the right side in the image are characters that contain a horizontal line at the top.,have vertical and horizontal symmetry
124,circle,Characters inside the circle in the image are characters that contain at least one horizontal line.,contain straight lines only
124,color,Characters colored red in the image are characters that contain multiple vertical lines enclosed within a rectangular shape.,contain straight lines only
124,leftright,Characters on the right side in the image are characters that contain a rectangular grid pattern.,contain straight lines only
125,circle,Characters inside the circle in the image are characters that contain a vertical line.,"have a straight horizontal stroke at the bottom or a flat bottom, or are used in font encoding"
125,color,Characters colored red in the image are characters that contain multiple vertical lines within an enclosed shape.,"have a straight horizontal stroke at the bottom or a flat bottom, or are used in font encoding"
125,leftright,Characters on the right side in the image are characters that contain a vertical line with a horizontal line crossing it near the top.,"have a straight horizontal stroke at the bottom or a flat bottom, or are used in font encoding"
126,circle,Characters inside the circle in the image are characters that contain at least one horizontal line.,have crossed lines
126,color,Characters colored red in the image are characters that contain at least one horizontal line.,have crossed lines
126,leftright,Characters on the right side in the image are characters that contain a horizontal line at the top.,have crossed lines
127,circle,Characters inside the circle in the image are characters that contain at least one horizontal line.,have an enclosed space/loop
127,color,Characters colored red in the image are characters that contain at least one horizontal line.,have an enclosed space/loop
127,leftright,Characters on the right side in the image are characters that contain at least one horizontal line.,have an enclosed space/loop
128,circle,Characters inside the circle in the image are characters that contain at least one horizontal line.,have parallel vertical lines or multiple vertical lines
128,color,Characters colored red in the image are characters that contain multiple vertical lines.,have parallel vertical lines or multiple vertical lines
128,leftright,Characters on the right side in the image are characters that contain vertical parallel lines.,have parallel vertical lines or multiple vertical lines
129,circle,Characters inside the circle in the image are characters that contain at least one horizontal line.,have at least one vertical line or right angle
129,color,Characters colored red in the image are characters that contain horizontal parallel lines.,have at least one vertical line or right angle
129,leftright,Characters on the right side in the image are characters that contain at least one horizontal line.,have at least one vertical line or right angle
12,circle,Characters inside the circle in the image are characters that contain a vertical line.,have roughly the shape of an m and may have reflectional symmetry
12,color,Characters colored red in the image are characters that contain a loop or enclosed area.,have roughly the shape of an m and may have reflectional symmetry
12,leftright,Characters on the right side in the image are characters that contain a loop or closed curve.,have roughly the shape of an m and may have reflectional symmetry
130,circle,Characters inside the circle in the image are characters that are Greek letters.,have exactly one closed end
130,color,Characters colored red in the image are characters that contain a closed loop.,have exactly one closed end
130,leftright,Characters on the right side in the image are characters that have a loop or circular shape.,have exactly one closed end
131,circle,Characters inside the circle in the image are characters that are Greek letters.,contain a closed loop or enclosed space
131,color,Characters colored red in the image are characters that contain a closed loop.,contain a closed loop or enclosed space
131,leftright,Characters on the right side in the image are characters that contain a loop or circular shape.,contain a closed loop or enclosed space
132,circle,Characters inside the circle in the image are characters that contain at least one straight line.,have more than one distinct part
132,color,Characters colored red in the image are characters that contain at least one straight vertical line.,have more than one distinct part
132,leftright,Characters on the right side in the image are characters that contain at least one horizontal line.,have more than one distinct part
13,circle,Characters inside the circle in the image are characters that contain a horizontal line.,have a horizontal line at the top and bottom and may have reflectional symmetry
13,color,Characters colored red in the image are characters that contain a horizontal line.,have a horizontal line at the top and bottom and may have reflectional symmetry
13,leftright,Characters on the right side in the image are characters that have a horizontal line at the top.,have a horizontal line at the top and bottom and may have reflectional symmetry
146,circle,Characters inside the circle in the image are characters that contain a diacritical mark.,have dots
146,color,Characters colored red in the image are characters that contain at least one small circle or dot.,have dots
146,leftright,Characters on the right side in the image are characters that contain a circle.,have dots
147,circle,Characters inside the circle in the image are characters that contain a loop or circular shape.,do not have a mirrored or rotated version
147,color,Characters colored red in the image are characters that contain a curved line.,do not have a mirrored or rotated version
147,leftright,Characters on the right side in the image are characters that contain at least one curved line.,do not have a mirrored or rotated version
148,circle,Characters inside the circle in the image are characters that contain at least one horizontal line.,have a flat top or are capped by a horizontal straight line
148,color,Characters colored red in the image are characters that contain a horizontal line.,have a flat top or are capped by a horizontal straight line
148,leftright,Characters on the right side in the image are characters that contain a right angle (90-degree angle).,have a flat top or are capped by a horizontal straight line
149,circle,Characters inside the circle in the image are characters that contain a vertical line.,cannot be drawn in a single stroke or without going over part of an existing line
149,color,Characters colored red in the image are characters that have a vertical line.,cannot be drawn in a single stroke or without going over part of an existing line
149,leftright,Characters on the right side in the image are characters that contain at least one horizontal line.,cannot be drawn in a single stroke or without going over part of an existing line
14,circle,Characters inside the circle in the image are characters that have a vertical line.,have reflectional symmetry
14,color,Characters colored red in the image are characters that contain a horizontal line at the bottom.,have reflectional symmetry
14,leftright,Characters on the right side in the image are characters that have a curved line.,have reflectional symmetry
150,circle,Characters inside the circle in the image are characters that contain a loop or circular shape.,enclose at least one space completely and may contain one or more closed loops or curves
150,color,Characters colored red in the image are characters that contain a curved line.,enclose at least one space completely and may contain one or more closed loops or curves
150,leftright,Characters on the right side in the image are characters that contain a curved line.,enclose at least one space completely and may contain one or more closed loops or curves
151,circle,Characters inside the circle in the image are characters that contain at least one straight line.,have reflectional symmetry on any axis
151,color,Characters colored red in the image are characters that contain at least one horizontal line.,have reflectional symmetry on any axis
151,leftright,Characters on the right side in the image are characters that contain at least one straight vertical line.,have reflectional symmetry on any axis
152,circle,Characters inside the circle in the image are characters that contain at least one right angle.,"can be placed in pairs of horizontal mirror images, with one letter being the same as the other reversed left to right"
152,color,Characters colored red in the image are characters that contain at least one horizontal line.,"can be placed in pairs of horizontal mirror images, with one letter being the same as the other reversed left to right"
152,leftright,Characters on the right side in the image are characters that contain at least one curved line.,"can be placed in pairs of horizontal mirror images, with one letter being the same as the other reversed left to right"
153,circle,Characters inside the circle in the image are characters that contain at least one straight line.,"are made with a single stroke, without backtracking or looping"
153,color,Characters colored red in the image are characters that contain at least one right angle.,"are made with a single stroke, without backtracking or looping"
