rule_id,visual,answer,most_frequent_output,correctness
100,circle,C,D,False
100,color,B,D,False
103,color,D,D,True
130,color,C,C,True
130,leftright,C,C,True
131,circle,C,C,True
131,color,A,C,False
131,leftright,A,D,False
132,circle,D,C,False
132,color,D,C,False
132,leftright,A,C,False
13,circle,C,C,True
13,color,A,D,False
103,leftright,C,C,True
13,leftright,A,D,False
146,circle,C,D,False
146,color,A,D,False
146,leftright,C,D,False
147,circle,D,C,False
147,color,A,D,False
147,leftright,B,C,False
148,circle,D,C,False
148,color,D,C,False
148,leftright,B,C,False
104,circle,A,D,False
149,circle,A,C,False
149,color,D,C,False
149,leftright,B,D,False
14,circle,C,D,False
14,color,C,D,False
14,leftright,C,D,False
150,circle,D,D,True
150,color,A,C,False
150,leftright,C,C,True
151,circle,C,D,False
104,color,B,C,False
151,color,A,C,False
151,leftright,D,C,False
152,circle,A,C,False
152,color,B,C,False
152,leftright,D,D,True
153,circle,C,D,False
153,color,B,D,False
153,leftright,B,D,False
154,circle,A,C,False
154,color,A,D,False
104,leftright,B,C,False
154,leftright,C,C,True
155,circle,D,D,True
155,color,C,C,True
155,leftright,D,D,True
156,circle,C,C,True
156,color,B,C,False
156,leftright,D,D,True
157,circle,B,D,False
157,color,D,D,True
157,leftright,A,D,False
105,circle,A,D,False
158,circle,B,D,False
158,color,A,D,False
158,leftright,D,C,False
159,circle,C,D,False
159,color,A,C,False
159,leftright,A,D,False
15,circle,C,D,False
15,color,D,C,False
15,leftright,D,C,False
160,circle,B,D,False
105,color,A,C,False
160,color,B,C,False
160,leftright,C,D,False
161,circle,D,D,True
161,color,D,D,True
161,leftright,C,C,True
162,circle,A,C,False
162,color,A,D,False
162,leftright,B,D,False
163,circle,A,D,False
163,color,A,D,False
105,leftright,D,C,False
163,leftright,D,C,False
164,circle,D,D,True
164,color,D,D,True
164,leftright,B,C,False
165,circle,B,D,False
165,color,A,D,False
165,leftright,A,C,False
166,circle,D,D,True
166,color,A,D,False
166,leftright,B,D,False
106,circle,D,D,True
167,circle,D,D,True
167,color,B,D,False
167,leftright,B,D,False
168,circle,B,C,False
168,color,A,C,False
168,leftright,B,C,False
169,circle,C,D,False
169,color,B,D,False
169,leftright,C,D,False
16,circle,A,D,False
106,color,D,C,False
16,color,A,D,False
16,leftright,D,D,True
170,circle,C,D,False
170,color,D,D,True
170,leftright,C,C,True
171,circle,C,D,False
171,color,C,D,False
171,leftright,A,C,False
172,circle,D,D,True
172,color,B,C,False
100,leftright,B,C,False
106,leftright,B,C,False
172,leftright,C,D,False
173,circle,A,C,False
173,color,A,C,False
