rule_id,visual,answer,most_frequent_output,correctness
85,circle,D,C,False
28,circle,A,A,True
60,color,A,D,False
43,leftright,B,D,False
30,circle,B,B,True
46,color,B,B,True
99,color,B,D,False
132,color,D,D,True
215,color,C,D,False
72,circle,C,A,False
270,leftright,A,D,False
255,leftright,D,C,False
331,circle,A,A,True
32,leftright,B,A,False
170,leftright,C,D,False
63,circle,B,D,False
160,leftright,C,D,False
91,color,C,D,False
180,color,A,A,True
248,color,A,D,False
272,circle,C,A,False
75,color,B,D,False
319,circle,D,B,False
9,color,B,D,False
128,circle,B,C,False
322,color,C,D,False
199,leftright,B,A,False
61,color,D,D,True
203,leftright,B,D,False
312,circle,C,C,True
154,leftright,C,C,True
127,color,A,D,False
211,color,B,D,False
303,leftright,C,C,True
72,leftright,A,C,False
225,leftright,B,A,False
254,leftright,C,C,True
7,circle,D,B,False
244,leftright,B,C,False
96,color,B,A,False
27,leftright,A,C,False
278,color,A,A,True
330,color,A,D,False
74,color,C,D,False
83,leftright,D,A,False
123,color,A,D,False
326,leftright,C,C,True
86,leftright,D,A,False
319,color,C,D,False
275,circle,C,A,False
289,color,B,D,False
247,leftright,A,A,True
130,circle,B,C,False
146,leftright,C,D,False
268,leftright,A,D,False
162,color,A,D,False
151,circle,C,A,False
310,leftright,D,D,True
102,circle,C,A,False
38,color,A,D,False
302,circle,B,C,False
264,leftright,D,A,False
152,color,B,D,False
181,circle,C,A,False
234,color,D,D,True
114,circle,D,C,False
335,circle,A,C,False
108,leftright,B,A,False
78,leftright,B,A,False
35,color,A,D,False
315,leftright,B,A,False
9,circle,C,D,False
98,leftright,D,A,False
217,color,C,D,False
130,color,C,D,False
20,circle,B,A,False
274,color,B,D,False
6,color,C,D,False
38,leftright,D,A,False
246,circle,B,B,True
207,color,D,D,True
328,circle,D,D,True
203,color,D,D,True
211,leftright,C,B,False
270,color,D,D,True
262,color,B,D,False
111,circle,A,D,False
274,circle,A,C,False
189,leftright,B,A,False
48,color,C,D,False
174,leftright,C,A,False
259,color,B,D,False
309,circle,B,C,False
191,circle,B,C,False
95,leftright,B,A,False
158,color,A,D,False
110,color,A,D,False
301,color,B,D,False
13,circle,C,C,True
19,leftright,C,D,False
103,color,D,D,True
224,circle,A,D,False
242,color,C,D,False
18,circle,C,A,False
124,color,C,D,False
76,circle,A,C,False
114,leftright,A,D,False
174,color,D,A,False
191,leftright,D,C,False
30,leftright,C,C,True
84,circle,A,A,True
154,circle,A,A,True
258,color,D,D,True
193,leftright,C,A,False
110,circle,D,D,True
257,color,B,D,False
11,circle,A,C,False
234,circle,A,D,False
113,color,A,D,False
52,leftright,D,C,False
203,circle,C,C,True
69,color,A,D,False
148,circle,D,C,False
168,circle,B,D,False
123,leftright,A,C,False
146,color,A,D,False
126,leftright,A,D,False
186,color,B,D,False
166,color,A,D,False
261,color,D,D,True
161,leftright,C,C,True
46,leftright,A,A,True
116,circle,C,C,True
35,circle,D,B,False
62,leftright,B,D,False
101,circle,B,D,False
294,color,C,D,False
199,circle,A,A,True
271,color,C,D,False
240,color,A,D,False
105,leftright,D,C,False
252,circle,B,D,False
20,leftright,C,A,False
53,circle,C,C,True
174,circle,B,D,False
47,circle,B,B,True
112,leftright,D,A,False
30,color,D,D,True
316,circle,A,D,False
255,color,D,D,True
293,leftright,D,D,True
22,color,B,D,False
184,leftright,D,D,True
280,leftright,C,C,True
10,circle,D,C,False
11,color,C,D,False
59,color,C,D,False
281,color,B,D,False
273,circle,D,C,False
247,circle,A,C,False
201,circle,D,A,False
305,circle,D,A,False
159,leftright,A,D,False
260,color,A,D,False
307,color,D,D,True
287,circle,C,C,True
100,circle,C,C,True
277,color,A,D,False
68,color,B,C,False
43,circle,A,B,False
89,leftright,B,A,False
325,leftright,D,C,False
170,color,D,D,True
52,color,D,D,True
184,circle,C,D,False
334,leftright,C,C,True
129,leftright,C,C,True
107,circle,C,C,True
157,leftright,A,D,False
267,color,B,D,False
93,color,A,D,False
41,color,A,D,False
80,circle,B,D,False
315,circle,C,C,True
151,color,A,D,False
306,circle,D,C,False
251,circle,C,B,False
17,leftright,B,A,False
284,leftright,C,D,False
95,color,A,D,False
254,circle,B,C,False
33,circle,C,A,False
208,color,A,D,False
197,color,B,D,False
35,leftright,B,D,False
238,color,A,D,False
221,circle,A,D,False
113,circle,C,A,False
54,leftright,A,D,False
263,leftright,C,D,False
191,color,A,D,False
155,leftright,D,A,False
73,circle,C,A,False
324,leftright,D,D,True
281,circle,A,A,True
243,leftright,D,A,False
195,circle,A,C,False
26,circle,C,D,False
29,leftright,A,A,True
213,leftright,D,D,True
282,leftright,B,A,False
280,color,C,D,False
318,color,D,D,True
189,circle,B,A,False
69,circle,A,D,False
16,leftright,D,D,True
60,leftright,A,C,False
120,leftright,A,A,True
171,leftright,A,C,False
265,leftright,C,A,False
251,color,C,D,False
321,circle,D,C,False
78,circle,B,A,False
297,circle,A,C,False
195,color,B,D,False
39,leftright,A,A,True
92,color,D,D,True
32,color,B,D,False
254,color,B,D,False
332,leftright,B,A,False
14,color,C,D,False
19,circle,A,C,False
8,leftright,D,D,True
209,color,A,D,False
34,leftright,A,A,True
198,leftright,C,C,True
70,leftright,A,C,False
159,circle,C,A,False
292,color,C,D,False
268,circle,D,B,False
165,leftright,A,A,True
31,circle,A,C,False
64,circle,C,A,False
300,color,C,D,False
260,leftright,A,C,False
229,color,B,D,False
321,leftright,C,D,False
155,color,C,A,False
110,leftright,B,D,False
248,circle,B,C,False
77,color,A,D,False
70,color,A,D,False
233,leftright,C,D,False
7,color,D,D,True
320,color,B,D,False
116,leftright,D,C,False
50,circle,C,C,True
188,leftright,D,A,False
121,leftright,C,A,False
79,circle,C,A,False
291,leftright,C,A,False
176,circle,A,B,False
24,circle,D,B,False
223,color,C,D,False
147,leftright,B,A,False
307,leftright,B,D,False
326,color,C,D,False
300,circle,C,C,True
215,circle,B,B,True
223,circle,D,A,False
183,leftright,B,A,False
166,leftright,B,B,True
173,circle,A,C,False
194,color,C,D,False
273,leftright,B,A,False
124,circle,D,A,False
169,circle,C,D,False
271,leftright,D,C,False
126,circle,D,A,False
157,color,D,D,True
70,circle,A,C,False
175,color,D,D,True
173,color,A,D,False
256,color,A,D,False
226,circle,B,C,False
287,color,D,D,True
279,circle,A,D,False
175,leftright,A,A,True
74,circle,A,C,False
108,color,A,D,False
55,color,A,D,False
253,color,C,D,False
316,color,B,C,False
32,circle,A,C,False
306,color,D,D,True
28,leftright,D,A,False
125,circle,A,C,False
234,leftright,A,D,False
240,leftright,D,D,True
117,color,C,D,False
37,circle,B,D,False
246,leftright,A,A,True
233,color,A,D,False
302,color,A,D,False
305,leftright,C,A,False
321,color,C,D,False
57,leftright,C,B,False
299,leftright,B,D,False
213,circle,A,A,True
227,color,C,D,False
18,leftright,D,A,False
15,color,D,B,False
177,circle,B,C,False
226,leftright,D,D,True
172,color,B,D,False
296,color,D,D,True
39,circle,B,A,False
176,leftright,B,D,False
6,leftright,C,A,False
227,circle,A,C,False
253,circle,B,C,False
230,leftright,C,A,False
97,circle,D,A,False
168,color,A,D,False
7,leftright,D,A,False
227,leftright,A,C,False
304,color,B,D,False
160,circle,B,D,False
283,circle,B,C,False
202,circle,D,D,True
116,color,A,D,False
94,leftright,A,A,True
177,color,B,A,False
111,leftright,B,D,False
34,color,B,D,False
206,circle,A,A,True
236,color,C,D,False
49,color,B,D,False
216,leftright,A,A,True
33,color,A,D,False
237,circle,C,B,False
37,color,B,A,False
172,leftright,C,A,False
57,circle,B,C,False
189,color,A,D,False
