rule_id,visual,answer,most_frequent_output,correctness
85,circle,D,C,False
28,circle,A,A,True
60,color,A,A,True
43,leftright,B,A,False
30,circle,B,B,True
46,color,B,B,True
99,color,B,B,True
132,color,D,A,False
215,color,C,C,True
72,circle,C,C,True
270,leftright,A,A,True
255,leftright,D,A,False
331,circle,A,A,True
32,leftright,B,A,False
170,leftright,C,C,True
63,circle,B,D,False
160,leftright,C,C,True
91,color,C,D,False
180,color,A,A,True
248,color,A,B,False
272,circle,C,A,False
75,color,B,B,True
319,circle,D,B,False
9,color,B,C,False
128,circle,B,A,False
322,color,C,B,False
199,leftright,B,A,False
61,color,D,A,False
203,leftright,B,D,False
312,circle,C,B,False
154,leftright,C,C,True
127,color,A,A,True
211,color,B,A,False
303,leftright,C,B,False
72,leftright,A,A,True
225,leftright,B,A,False
254,leftright,C,C,True
7,circle,D,A,False
244,leftright,B,A,False
96,color,B,A,False
27,leftright,A,C,False
278,color,A,A,True
330,color,A,A,True
74,color,C,A,False
83,leftright,D,A,False
123,color,A,D,False
326,leftright,C,A,False
86,leftright,D,A,False
319,color,C,D,False
275,circle,C,C,True
289,color,B,A,False
247,leftright,A,A,True
130,circle,B,C,False
146,leftright,C,D,False
268,leftright,A,D,False
162,color,A,A,True
151,circle,C,A,False
310,leftright,D,A,False
102,circle,C,A,False
38,color,A,A,True
302,circle,B,C,False
264,leftright,D,A,False
152,color,B,B,True
181,circle,C,C,True
234,color,D,C,False
114,circle,D,A,False
335,circle,A,C,False
108,leftright,B,A,False
78,leftright,B,B,True
35,color,A,A,True
315,leftright,B,A,False
9,circle,C,B,False
98,leftright,D,A,False
217,color,C,A,False
130,color,C,A,False
20,circle,B,A,False
274,color,B,D,False
6,color,C,A,False
38,leftright,D,A,False
246,circle,B,B,True
207,color,D,B,False
328,circle,D,A,False
203,color,D,D,True
211,leftright,C,B,False
270,color,D,D,True
262,color,B,C,False
111,circle,A,A,True
274,circle,A,A,True
189,leftright,B,C,False
48,color,C,B,False
174,leftright,C,A,False
259,color,B,C,False
309,circle,B,A,False
191,circle,B,C,False
95,leftright,B,A,False
158,color,A,A,True
110,color,A,A,True
301,color,B,B,True
13,circle,C,D,False
19,leftright,C,A,False
103,color,D,D,True
224,circle,A,C,False
242,color,C,A,False
18,circle,C,A,False
124,color,C,B,False
76,circle,A,A,True
114,leftright,A,A,True
174,color,D,A,False
191,leftright,D,A,False
30,leftright,C,C,True
84,circle,A,A,True
154,circle,A,A,True
258,color,D,D,True
193,leftright,C,D,False
110,circle,D,D,True
257,color,B,A,False
11,circle,A,C,False
234,circle,A,D,False
113,color,A,D,False
52,leftright,D,A,False
203,circle,C,C,True
69,color,A,B,False
148,circle,D,B,False
168,circle,B,D,False
123,leftright,A,C,False
146,color,A,B,False
126,leftright,A,B,False
186,color,B,B,True
166,color,A,A,True
261,color,D,D,True
161,leftright,C,C,True
46,leftright,A,A,True
116,circle,C,A,False
35,circle,D,B,False
62,leftright,B,A,False
101,circle,B,B,True
294,color,C,A,False
199,circle,A,D,False
271,color,C,C,True
240,color,A,A,True
105,leftright,D,A,False
252,circle,B,A,False
20,leftright,C,B,False
53,circle,C,A,False
174,circle,B,A,False
47,circle,B,B,True
112,leftright,D,A,False
30,color,D,D,True
316,circle,A,B,False
255,color,D,D,True
293,leftright,D,D,True
22,color,B,A,False
184,leftright,D,A,False
280,leftright,C,A,False
10,circle,D,C,False
11,color,C,A,False
59,color,C,A,False
281,color,B,B,True
273,circle,D,C,False
247,circle,A,A,True
201,circle,D,A,False
305,circle,D,A,False
159,leftright,A,A,True
260,color,A,A,True
307,color,D,C,False
287,circle,C,A,False
100,circle,C,C,True
277,color,A,B,False
68,color,B,C,False
43,circle,A,B,False
89,leftright,B,D,False
325,leftright,D,A,False
170,color,D,A,False
52,color,D,B,False
184,circle,C,B,False
334,leftright,C,B,False
129,leftright,C,C,True
107,circle,C,C,True
157,leftright,A,D,False
267,color,B,A,False
93,color,A,C,False
41,color,A,A,True
80,circle,B,D,False
315,circle,C,A,False
151,color,A,D,False
306,circle,D,C,False
251,circle,C,B,False
17,leftright,B,A,False
284,leftright,C,D,False
95,color,A,A,True
254,circle,B,B,True
33,circle,C,A,False
208,color,A,A,True
197,color,B,B,True
35,leftright,B,D,False
238,color,A,D,False
221,circle,A,A,True
113,circle,C,B,False
54,leftright,A,A,True
263,leftright,C,A,False
191,color,A,A,True
155,leftright,D,A,False
73,circle,C,A,False
324,leftright,D,A,False
281,circle,A,A,True
243,leftright,D,A,False
195,circle,A,B,False
26,circle,C,D,False
29,leftright,A,A,True
213,leftright,D,D,True
282,leftright,B,A,False
280,color,C,A,False
318,color,D,C,False
189,circle,B,A,False
69,circle,A,C,False
16,leftright,D,D,True
60,leftright,A,A,True
120,leftright,A,C,False
171,leftright,A,A,True
265,leftright,C,A,False
251,color,C,A,False
321,circle,D,A,False
78,circle,B,A,False
297,circle,A,A,True
195,color,B,A,False
39,leftright,A,A,True
92,color,D,A,False
32,color,B,A,False
254,color,B,B,True
332,leftright,B,A,False
14,color,C,A,False
19,circle,A,B,False
8,leftright,D,D,True
209,color,A,A,True
34,leftright,A,A,True
198,leftright,C,C,True
70,leftright,A,C,False
159,circle,C,A,False
292,color,C,A,False
268,circle,D,C,False
165,leftright,A,A,True
31,circle,A,C,False
64,circle,C,B,False
300,color,C,C,True
260,leftright,A,A,True
229,color,B,D,False
321,leftright,C,A,False
155,color,C,A,False
110,leftright,B,D,False
248,circle,B,C,False
77,color,A,A,True
70,color,A,B,False
233,leftright,C,C,True
7,color,D,A,False
320,color,B,A,False
116,leftright,D,A,False
50,circle,C,C,True
188,leftright,D,A,False
121,leftright,C,A,False
79,circle,C,A,False
291,leftright,C,C,True
176,circle,A,B,False
24,circle,D,B,False
223,color,C,D,False
147,leftright,B,A,False
307,leftright,B,A,False
326,color,C,A,False
300,circle,C,C,True
215,circle,B,B,True
223,circle,D,A,False
183,leftright,B,A,False
166,leftright,B,A,False
173,circle,A,C,False
194,color,C,A,False
273,leftright,B,B,True
124,circle,D,A,False
169,circle,C,D,False
271,leftright,D,A,False
126,circle,D,A,False
157,color,D,A,False
70,circle,A,C,False
175,color,D,C,False
173,color,A,A,True
256,color,A,B,False
226,circle,B,B,True
287,color,D,A,False
279,circle,A,A,True
175,leftright,A,A,True
74,circle,A,A,True
108,color,A,B,False
55,color,A,A,True
253,color,C,A,False
316,color,B,D,False
32,circle,A,D,False
306,color,D,B,False
28,leftright,D,A,False
125,circle,A,A,True
234,leftright,A,D,False
240,leftright,D,D,True
117,color,C,D,False
37,circle,B,A,False
246,leftright,A,A,True
233,color,A,C,False
302,color,A,D,False
305,leftright,C,A,False
321,color,C,C,True
57,leftright,C,A,False
299,leftright,B,B,True
213,circle,A,A,True
227,color,C,B,False
18,leftright,D,A,False
15,color,D,A,False
177,circle,B,A,False
226,leftright,D,D,True
172,color,B,A,False
296,color,D,A,False
39,circle,B,A,False
176,leftright,B,A,False
6,leftright,C,A,False
227,circle,A,D,False
253,circle,B,A,False
230,leftright,C,A,False
97,circle,D,A,False
168,color,A,A,True
7,leftright,D,A,False
227,leftright,A,C,False
304,color,B,A,False
160,circle,B,A,False
283,circle,B,A,False
202,circle,D,D,True
116,color,A,D,False
94,leftright,A,A,True
177,color,B,A,False
111,leftright,B,D,False
34,color,B,A,False
206,circle,A,A,True
236,color,C,D,False
49,color,B,D,False
216,leftright,A,A,True
33,color,A,A,True
237,circle,C,B,False
37,color,B,B,True
172,leftright,C,A,False
57,circle,B,A,False
189,color,A,B,False
