rule_id,visual,answer,most_frequent_output,correctness
85,circle,D,B,False
28,circle,A,C,False
60,color,A,C,False
43,leftright,B,D,False
30,circle,B,B,True
46,color,B,C,False
99,color,B,B,True
132,color,D,D,True
215,color,C,C,True
72,circle,C,B,False
270,leftright,A,C,False
255,leftright,D,B,False
331,circle,A,D,False
32,leftright,B,C,False
170,leftright,C,B,False
63,circle,B,C,False
160,leftright,C,C,True
91,color,C,D,False
180,color,A,A,True
248,color,A,C,False
272,circle,C,B,False
75,color,B,C,False
319,circle,D,B,False
9,color,B,C,False
128,circle,B,B,True
322,color,C,B,False
199,leftright,B,B,True
61,color,D,D,True
203,leftright,B,B,True
312,circle,C,D,False
154,leftright,C,B,False
127,color,A,C,False
211,color,B,B,True
303,leftright,C,B,False
72,leftright,A,C,False
225,leftright,B,B,True
254,leftright,C,C,True
7,circle,D,A,False
244,leftright,B,C,False
96,color,B,A,False
27,leftright,A,C,False
278,color,A,A,True
330,color,A,B,False
74,color,C,C,True
83,leftright,D,C,False
123,color,A,D,False
326,leftright,C,C,True
86,leftright,D,D,True
319,color,C,D,False
275,circle,C,B,False
289,color,B,D,False
247,leftright,A,B,False
130,circle,B,C,False
146,leftright,C,A,False
268,leftright,A,D,False
162,color,A,B,False
151,circle,C,C,True
310,leftright,D,B,False
102,circle,C,A,False
38,color,A,C,False
302,circle,B,B,True
264,leftright,D,B,False
152,color,B,D,False
181,circle,C,C,True
234,color,D,C,False
114,circle,D,C,False
335,circle,A,C,False
108,leftright,B,D,False
78,leftright,B,C,False
35,color,A,C,False
315,leftright,B,D,False
9,circle,C,B,False
98,leftright,D,A,False
217,color,C,C,True
130,color,C,C,True
20,circle,B,C,False
274,color,B,D,False
6,color,C,D,False
38,leftright,D,A,False
246,circle,B,C,False
207,color,D,D,True
328,circle,D,D,True
203,color,D,B,False
211,leftright,C,C,True
270,color,D,B,False
262,color,B,B,True
111,circle,A,B,False
274,circle,A,D,False
189,leftright,B,B,True
48,color,C,D,False
174,leftright,C,D,False
259,color,B,D,False
309,circle,B,A,False
191,circle,B,C,False
95,leftright,B,B,True
158,color,A,B,False
110,color,A,C,False
301,color,B,C,False
13,circle,C,D,False
19,leftright,C,B,False
103,color,D,C,False
224,circle,A,C,False
242,color,C,B,False
18,circle,C,B,False
124,color,C,B,False
76,circle,A,C,False
114,leftright,A,C,False
174,color,D,B,False
191,leftright,D,C,False
30,leftright,C,C,True
84,circle,A,B,False
154,circle,A,A,True
258,color,D,D,True
193,leftright,C,C,True
110,circle,D,D,True
257,color,B,D,False
11,circle,A,C,False
234,circle,A,B,False
113,color,A,D,False
52,leftright,D,B,False
203,circle,C,D,False
69,color,A,B,False
148,circle,D,C,False
168,circle,B,D,False
123,leftright,A,A,True
146,color,A,C,False
126,leftright,A,D,False
186,color,B,B,True
166,color,A,B,False
261,color,D,C,False
161,leftright,C,D,False
46,leftright,A,A,True
116,circle,C,D,False
35,circle,D,B,False
62,leftright,B,B,True
101,circle,B,B,True
294,color,C,D,False
199,circle,A,B,False
271,color,C,D,False
240,color,A,A,True
105,leftright,D,B,False
252,circle,B,C,False
20,leftright,C,B,False
53,circle,C,D,False
174,circle,B,A,False
47,circle,B,A,False
112,leftright,D,D,True
30,color,D,C,False
316,circle,A,B,False
255,color,D,D,True
293,leftright,D,B,False
22,color,B,C,False
184,leftright,D,B,False
280,leftright,C,B,False
10,circle,D,C,False
11,color,C,D,False
59,color,C,D,False
281,color,B,B,True
273,circle,D,C,False
247,circle,A,C,False
201,circle,D,A,False
305,circle,D,B,False
159,leftright,A,D,False
260,color,A,B,False
307,color,D,C,False
287,circle,C,C,True
100,circle,C,C,True
277,color,A,A,True
68,color,B,C,False
43,circle,A,C,False
89,leftright,B,D,False
325,leftright,D,C,False
170,color,D,A,False
52,color,D,A,False
184,circle,C,C,True
334,leftright,C,C,True
129,leftright,C,B,False
107,circle,C,C,True
157,leftright,A,C,False
267,color,B,C,False
93,color,A,B,False
41,color,A,C,False
80,circle,B,C,False
315,circle,C,D,False
151,color,A,D,False
306,circle,D,C,False
251,circle,C,C,True
17,leftright,B,B,True
284,leftright,C,C,True
95,color,A,A,True
254,circle,B,C,False
33,circle,C,D,False
208,color,A,C,False
197,color,B,C,False
35,leftright,B,D,False
238,color,A,C,False
221,circle,A,A,True
113,circle,C,C,True
54,leftright,A,D,False
263,leftright,C,C,True
191,color,A,C,False
155,leftright,D,B,False
73,circle,C,C,True
324,leftright,D,B,False
281,circle,A,A,True
243,leftright,D,B,False
195,circle,A,D,False
26,circle,C,D,False
29,leftright,A,B,False
213,leftright,D,D,True
282,leftright,B,C,False
280,color,C,B,False
318,color,D,B,False
189,circle,B,B,True
69,circle,A,C,False
16,leftright,D,B,False
60,leftright,A,B,False
120,leftright,A,D,False
171,leftright,A,A,True
265,leftright,C,D,False
251,color,C,A,False
321,circle,D,B,False
78,circle,B,D,False
297,circle,A,C,False
195,color,B,B,True
39,leftright,A,A,True
92,color,D,C,False
32,color,B,B,True
254,color,B,B,True
332,leftright,B,C,False
14,color,C,C,True
19,circle,A,B,False
8,leftright,D,B,False
209,color,A,B,False
34,leftright,A,B,False
198,leftright,C,B,False
70,leftright,A,C,False
159,circle,C,D,False
292,color,C,B,False
268,circle,D,A,False
165,leftright,A,D,False
31,circle,A,B,False
64,circle,C,C,True
300,color,C,C,True
260,leftright,A,C,False
229,color,B,C,False
321,leftright,C,C,True
155,color,C,C,True
110,leftright,B,C,False
248,circle,B,D,False
77,color,A,C,False
70,color,A,D,False
233,leftright,C,C,True
7,color,D,C,False
320,color,B,C,False
116,leftright,D,C,False
50,circle,C,C,True
188,leftright,D,C,False
121,leftright,C,B,False
79,circle,C,C,True
291,leftright,C,D,False
176,circle,A,B,False
24,circle,D,B,False
223,color,C,D,False
147,leftright,B,A,False
307,leftright,B,C,False
326,color,C,D,False
300,circle,C,C,True
215,circle,B,B,True
223,circle,D,A,False
183,leftright,B,C,False
166,leftright,B,D,False
173,circle,A,C,False
194,color,C,D,False
273,leftright,B,B,True
124,circle,D,B,False
169,circle,C,D,False
271,leftright,D,C,False
126,circle,D,C,False
157,color,D,B,False
70,circle,A,C,False
175,color,D,D,True
173,color,A,C,False
256,color,A,B,False
226,circle,B,C,False
287,color,D,B,False
279,circle,A,D,False
175,leftright,A,D,False
74,circle,A,D,False
108,color,A,C,False
55,color,A,D,False
253,color,C,B,False
316,color,B,D,False
32,circle,A,D,False
306,color,D,B,False
28,leftright,D,C,False
125,circle,A,B,False
234,leftright,A,C,False
240,leftright,D,D,True
117,color,C,D,False
37,circle,B,B,True
246,leftright,A,C,False
233,color,A,D,False
302,color,A,D,False
305,leftright,C,C,True
321,color,C,C,True
57,leftright,C,D,False
299,leftright,B,D,False
213,circle,A,B,False
227,color,C,C,True
18,leftright,D,B,False
15,color,D,B,False
177,circle,B,D,False
226,leftright,D,D,True
172,color,B,B,True
296,color,D,C,False
39,circle,B,B,True
176,leftright,B,D,False
6,leftright,C,C,True
227,circle,A,A,True
253,circle,B,B,True
230,leftright,C,B,False
97,circle,D,A,False
168,color,A,B,False
7,leftright,D,C,False
227,leftright,A,C,False
304,color,B,B,True
160,circle,B,C,False
283,circle,B,D,False
202,circle,D,D,True
116,color,A,B,False
94,leftright,A,C,False
177,color,B,D,False
111,leftright,B,C,False
34,color,B,B,True
206,circle,A,A,True
236,color,C,D,False
