rule_id,visual,answer,most_frequent_output,correctness
85,circle,B,B,True
28,circle,A,A,True
60,color,A,A,True
43,leftright,D,A,False
30,circle,C,C,True
46,color,A,A,True
99,color,A,A,True
132,color,C,A,False
215,color,B,A,False
72,circle,D,B,False
270,leftright,A,A,True
255,leftright,B,D,False
331,circle,B,A,False
32,leftright,C,B,False
170,leftright,A,A,True
63,circle,C,A,False
160,leftright,C,D,False
91,color,C,C,True
180,color,B,B,True
248,color,D,B,False
272,circle,C,C,True
75,color,C,C,True
319,circle,C,A,False
9,color,B,A,False
128,circle,C,C,True
322,color,C,B,False
199,leftright,C,A,False
61,color,B,A,False
203,leftright,B,B,True
312,circle,B,A,False
154,leftright,D,D,True
127,color,B,D,False
211,color,D,D,True
303,leftright,B,A,False
72,leftright,C,D,False
225,leftright,B,A,False
254,leftright,C,C,True
7,circle,B,A,False
244,leftright,D,A,False
96,color,A,A,True
27,leftright,D,D,True
278,color,D,D,True
330,color,A,A,True
74,color,D,A,False
83,leftright,A,B,False
123,color,C,A,False
326,leftright,A,C,False
86,leftright,D,D,True
319,color,B,C,False
275,circle,A,A,True
289,color,C,D,False
247,leftright,A,D,False
130,circle,A,C,False
146,leftright,A,A,True
268,leftright,C,A,False
162,color,A,A,True
151,circle,C,A,False
310,leftright,B,B,True
102,circle,D,A,False
38,color,A,A,True
302,circle,B,D,False
264,leftright,D,A,False
152,color,A,A,True
181,circle,C,D,False
234,color,C,A,False
114,circle,B,B,True
335,circle,B,A,False
108,leftright,B,A,False
78,leftright,D,D,True
35,color,A,A,True
315,leftright,D,C,False
9,circle,C,A,False
98,leftright,C,C,True
217,color,D,A,False
130,color,C,B,False
20,circle,C,A,False
274,color,D,A,False
6,color,C,A,False
38,leftright,C,A,False
246,circle,B,A,False
207,color,D,D,True
328,circle,D,C,False
203,color,C,C,True
211,leftright,B,B,True
270,color,B,B,True
262,color,A,A,True
111,circle,B,A,False
274,circle,D,A,False
189,leftright,B,A,False
48,color,B,A,False
174,leftright,B,B,True
259,color,C,D,False
309,circle,B,A,False
191,circle,C,C,True
95,leftright,B,D,False
158,color,B,B,True
110,color,A,D,False
301,color,A,A,True
13,circle,C,C,True
19,leftright,C,C,True
103,color,D,D,True
224,circle,A,C,False
242,color,B,A,False
18,circle,A,A,True
124,color,C,A,False
76,circle,A,A,True
114,leftright,B,B,True
174,color,D,D,True
191,leftright,A,A,True
30,leftright,A,A,True
84,circle,B,B,True
154,circle,B,B,True
258,color,C,A,False
193,leftright,C,A,False
110,circle,A,D,False
257,color,A,A,True
11,circle,D,A,False
234,circle,B,A,False
113,color,C,A,False
52,leftright,C,A,False
203,circle,D,D,True
69,color,B,A,False
148,circle,A,C,False
168,circle,A,A,True
123,leftright,A,A,True
146,color,C,A,False
126,leftright,D,A,False
186,color,A,A,True
166,color,D,D,True
261,color,C,C,True
161,leftright,C,C,True
46,leftright,D,D,True
116,circle,A,B,False
35,circle,C,A,False
62,leftright,C,D,False
101,circle,B,A,False
294,color,D,D,True
199,circle,C,A,False
271,color,B,A,False
240,color,D,D,True
105,leftright,B,C,False
252,circle,B,A,False
20,leftright,D,A,False
53,circle,D,A,False
174,circle,A,A,True
47,circle,C,C,True
112,leftright,B,B,True
30,color,A,A,True
316,circle,A,A,True
255,color,C,A,False
293,leftright,B,B,True
22,color,B,A,False
184,leftright,A,B,False
280,leftright,D,D,True
10,circle,D,A,False
11,color,A,A,True
59,color,D,A,False
281,color,A,A,True
273,circle,D,B,False
247,circle,D,B,False
201,circle,A,A,True
305,circle,A,D,False
159,leftright,D,C,False
260,color,B,A,False
307,color,B,A,False
287,circle,D,A,False
100,circle,A,A,True
277,color,C,C,True
68,color,C,A,False
43,circle,C,A,False
89,leftright,D,D,True
325,leftright,A,D,False
170,color,C,A,False
52,color,A,A,True
184,circle,C,B,False
334,leftright,C,A,False
129,leftright,D,D,True
107,circle,A,A,True
157,leftright,B,B,True
267,color,D,B,False
93,color,B,C,False
41,color,D,A,False
80,circle,A,B,False
315,circle,D,A,False
151,color,D,C,False
306,circle,A,A,True
251,circle,C,D,False
17,leftright,C,A,False
284,leftright,A,B,False
95,color,B,A,False
254,circle,D,A,False
33,circle,D,B,False
208,color,B,A,False
197,color,D,D,True
35,leftright,A,A,True
238,color,A,C,False
221,circle,B,C,False
113,circle,C,A,False
54,leftright,B,A,False
263,leftright,C,C,True
191,color,B,B,True
155,leftright,A,A,True
73,circle,A,D,False
324,leftright,C,A,False
281,circle,A,A,True
243,leftright,C,C,True
195,circle,A,A,True
26,circle,D,C,False
29,leftright,B,A,False
213,leftright,C,C,True
282,leftright,B,C,False
280,color,B,C,False
318,color,A,A,True
189,circle,D,C,False
69,circle,A,C,False
16,leftright,D,D,True
60,leftright,D,A,False
120,leftright,B,A,False
171,leftright,B,B,True
265,leftright,D,A,False
251,color,D,A,False
321,circle,B,A,False
78,circle,B,A,False
297,circle,C,A,False
195,color,C,C,True
39,leftright,A,A,True
92,color,D,A,False
32,color,A,A,True
254,color,B,B,True
332,leftright,D,A,False
14,color,A,A,True
19,circle,A,A,True
8,leftright,B,B,True
209,color,C,A,False
34,leftright,B,C,False
198,leftright,A,A,True
70,leftright,D,A,False
159,circle,C,A,False
292,color,B,B,True
268,circle,B,C,False
165,leftright,C,A,False
31,circle,A,C,False
64,circle,B,C,False
300,color,B,B,True
260,leftright,D,A,False
229,color,D,A,False
321,leftright,B,B,True
155,color,C,C,True
110,leftright,B,D,False
248,circle,B,A,False
77,color,A,A,True
70,color,C,A,False
233,leftright,A,A,True
7,color,A,C,False
320,color,D,A,False
116,leftright,C,A,False
50,circle,A,A,True
188,leftright,D,C,False
121,leftright,C,B,False
79,circle,D,B,False
291,leftright,B,B,True
176,circle,D,A,False
24,circle,B,C,False
223,color,C,A,False
147,leftright,D,D,True
307,leftright,A,A,True
326,color,B,A,False
300,circle,C,C,True
215,circle,C,C,True
223,circle,B,A,False
183,leftright,B,B,True
166,leftright,C,C,True
173,circle,B,A,False
194,color,C,C,True
273,leftright,C,A,False
124,circle,B,C,False
169,circle,A,D,False
271,leftright,B,B,True
126,circle,C,A,False
157,color,C,A,False
70,circle,A,B,False
175,color,C,A,False
173,color,A,A,True
256,color,B,D,False
226,circle,C,C,True
287,color,C,A,False
279,circle,B,B,True
175,leftright,C,A,False
74,circle,B,A,False
108,color,C,A,False
55,color,B,B,True
253,color,D,A,False
316,color,A,A,True
32,circle,C,A,False
306,color,A,A,True
28,leftright,C,A,False
125,circle,D,D,True
234,leftright,C,C,True
240,leftright,B,A,False
117,color,C,A,False
37,circle,C,A,False
246,leftright,B,C,False
233,color,C,A,False
302,color,A,D,False
305,leftright,A,A,True
321,color,A,A,True
57,leftright,C,C,True
299,leftright,B,A,False
213,circle,A,A,True
227,color,A,C,False
18,leftright,C,C,True
15,color,A,D,False
177,circle,B,A,False
226,leftright,C,C,True
172,color,C,C,True
296,color,D,D,True
39,circle,D,D,True
176,leftright,D,A,False
6,leftright,C,D,False
227,circle,C,A,False
253,circle,D,B,False
230,leftright,C,A,False
97,circle,B,C,False
168,color,A,A,True
7,leftright,C,B,False
227,leftright,A,A,True
304,color,B,A,False
160,circle,A,D,False
283,circle,C,A,False
202,circle,C,A,False
116,color,C,C,True
94,leftright,B,D,False
177,color,D,A,False
111,leftright,C,C,True
34,color,D,C,False
206,circle,B,A,False
236,color,D,B,False
49,color,B,A,False
216,leftright,A,B,False
33,color,B,A,False
237,circle,B,C,False
37,color,D,D,True
172,leftright,B,A,False
57,circle,A,A,True
189,color,A,D,False
101,color,B,B,True
66,circle,D,A,False
91,circle,B,A,False
118,circle,A,A,True
151,leftright,D,B,False
231,leftright,D,A,False
318,circle,A,A,True
33,leftright,C,A,False
20,color,B,D,False
68,circle,D,A,False
104,leftright,A,A,True
94,circle,D,C,False
250,leftright,A,A,True
256,leftright,A,D,False
233,circle,A,B,False
98,color,D,A,False
329,leftright,C,C,True
149,circle,A,B,False
193,color,B,D,False
67,circle,D,D,True
147,circle,D,A,False
283,color,C,A,False
87,leftright,C,C,True
226,color,C,C,True
292,circle,C,A,False
78,color,B,D,False
295,color,D,A,False
81,color,C,A,False
187,leftright,A,A,True
168,leftright,A,A,True
31,color,C,D,False
327,circle,D,D,True
12,color,D,D,True
31,leftright,A,A,True
167,color,C,C,True
103,leftright,D,D,True
309,leftright,D,B,False
311,circle,B,A,False
185,circle,A,A,True
100,leftright,B,A,False
296,leftright,A,A,True
53,leftright,D,A,False
311,color,D,A,False
323,leftright,B,B,True
217,circle,A,A,True
236,circle,B,A,False
104,circle,C,C,True
108,circle,D,A,False
208,leftright,B,A,False
244,circle,A,A,True
224,leftright,D,A,False
156,color,A,A,True
207,leftright,A,A,True
88,circle,A,A,True
225,circle,B,B,True
314,color,A,A,True
257,circle,B,C,False
216,circle,A,C,False
99,circle,D,D,True
45,color,C,C,True
103,circle,B,B,True
152,circle,C,C,True
286,circle,B,B,True
23,circle,A,A,True
220,color,B,B,True
56,circle,A,A,True
146,circle,B,A,False
229,circle,D,A,False
42,circle,A,A,True
10,leftright,C,B,False
199,color,B,D,False
