rule_id,visual,answer,most_frequent_output,correctness
85,circle,D,C,False
28,circle,A,B,False
60,color,A,B,False
43,leftright,B,D,False
30,circle,B,B,True
46,color,B,B,True
99,color,B,B,True
132,color,D,D,True
215,color,C,C,True
72,circle,C,B,False
270,leftright,A,C,False
255,leftright,D,B,False
331,circle,A,A,True
32,leftright,B,C,False
170,leftright,C,D,False
63,circle,B,C,False
160,leftright,C,C,True
91,color,C,D,False
180,color,A,B,False
248,color,A,B,False
272,circle,C,B,False
75,color,B,C,False
319,circle,D,A,False
9,color,B,C,False
128,circle,B,B,True
322,color,C,B,False
199,leftright,B,B,True
61,color,D,D,True
203,leftright,B,B,True
312,circle,C,B,False
154,leftright,C,C,True
127,color,A,C,False
211,color,B,C,False
303,leftright,C,C,True
72,leftright,A,D,False
225,leftright,B,B,True
254,leftright,C,C,True
7,circle,D,C,False
244,leftright,B,B,True
96,color,B,B,True
27,leftright,A,C,False
278,color,A,A,True
330,color,A,B,False
74,color,C,C,True
83,leftright,D,B,False
123,color,A,D,False
326,leftright,C,B,False
86,leftright,D,D,True
319,color,C,A,False
275,circle,C,B,False
289,color,B,B,True
247,leftright,A,B,False
130,circle,B,C,False
146,leftright,C,D,False
268,leftright,A,D,False
162,color,A,B,False
151,circle,C,D,False
310,leftright,D,D,True
102,circle,C,A,False
38,color,A,C,False
302,circle,B,B,True
264,leftright,D,B,False
152,color,B,C,False
181,circle,C,C,True
234,color,D,C,False
114,circle,D,C,False
335,circle,A,C,False
108,leftright,B,A,False
78,leftright,B,C,False
35,color,A,B,False
315,leftright,B,B,True
9,circle,C,C,True
98,leftright,D,D,True
217,color,C,B,False
130,color,C,C,True
20,circle,B,C,False
274,color,B,C,False
6,color,C,C,True
38,leftright,D,B,False
246,circle,B,B,True
207,color,D,D,True
328,circle,D,D,True
203,color,D,D,True
211,leftright,C,C,True
270,color,D,B,False
262,color,B,B,True
111,circle,A,B,False
274,circle,A,D,False
189,leftright,B,B,True
48,color,C,C,True
174,leftright,C,B,False
259,color,B,C,False
309,circle,B,A,False
191,circle,B,C,False
95,leftright,B,B,True
158,color,A,A,True
110,color,A,C,False
301,color,B,C,False
13,circle,C,D,False
19,leftright,C,B,False
103,color,D,B,False
224,circle,A,C,False
242,color,C,B,False
18,circle,C,D,False
124,color,C,B,False
76,circle,A,C,False
114,leftright,A,C,False
174,color,D,D,True
191,leftright,D,C,False
30,leftright,C,C,True
84,circle,A,A,True
154,circle,A,A,True
258,color,D,B,False
193,leftright,C,C,True
110,circle,D,D,True
257,color,B,C,False
11,circle,A,C,False
234,circle,A,B,False
113,color,A,D,False
52,leftright,D,C,False
203,circle,C,C,True
69,color,A,C,False
148,circle,D,D,True
168,circle,B,D,False
123,leftright,A,C,False
146,color,A,B,False
126,leftright,A,D,False
186,color,B,B,True
166,color,A,B,False
261,color,D,C,False
161,leftright,C,B,False
46,leftright,A,A,True
116,circle,C,B,False
35,circle,D,B,False
62,leftright,B,B,True
101,circle,B,B,True
294,color,C,A,False
199,circle,A,B,False
271,color,C,D,False
240,color,A,B,False
105,leftright,D,B,False
252,circle,B,C,False
20,leftright,C,B,False
53,circle,C,D,False
174,circle,B,A,False
47,circle,B,B,True
112,leftright,D,D,True
30,color,D,D,True
316,circle,A,B,False
255,color,D,B,False
293,leftright,D,B,False
22,color,B,C,False
184,leftright,D,B,False
280,leftright,C,B,False
10,circle,D,C,False
