rule_id,visual,model_output,groundtruth
100,circle,Characters inside the circle in the image are characters that are backwards.,contain a closed loop or enclosed space
100,color,Characters colored red in the image are characters that contain a small loop at the bottom of the character.,contain a closed loop or enclosed space
100,leftright,Characters on the right side in the image are characters that have a counterclockwise spiral.,contain a closed loop or enclosed space
101,circle,Characters inside the circle in the image are characters that contain only straight lines.,are shaped like the letter S or have an S influence
101,color,Characters colored red in the image are characters that have a curve to the right that is part of a circle.,are shaped like the letter S or have an S influence
101,leftright,"Characters on the right side in the image are characters that contain two curved lines connected at the top like an upside-down ""u"" shape.",are shaped like the letter S or have an S influence
102,circle,Characters inside the circle in the image are characters that contain a closed curve.,are symmetrical around a vertical axis
102,color,Characters colored red in the image are characters that are made with a single uninterrupted path.,are symmetrical around a vertical axis
102,leftright,Characters on the right side in the image are characters that are symmetrical about a vertical axis.,are symmetrical around a vertical axis
103,circle,Characters inside the circle in the image are characters that have rotational symmetry.,represent the letter U or W 
103,color,Characters colored red in the image are characters that are composed entirely of circles or semicircles.,represent the letter U or W 
103,leftright,Characters on the right side in the image are characters which are symmetrical along the vertical axis.,represent the letter U or W 
104,circle,Characters inside the circle in the image are characters that contain the lowercase letter 'w'.,have a base shape of M or W or resemble an M or W
104,color,Characters colored red in the image are characters that have a loop that opens on the top.,have a base shape of M or W or resemble an M or W
104,leftright,"Characters on the right side in the image are characters that are made up entirely of curves, with no straight lines.",have a base shape of M or W or resemble an M or W
105,circle,Characters inside the circle in the image are characters written using only straight lines.,are larger than most others or extend beyond the central square
105,color,Characters colored red in the image are characters that have a closed loop at the bottom of the character.,are larger than most others or extend beyond the central square
105,leftright,Characters on the right side of the image all contain curved lines.,are larger than most others or extend beyond the central square
106,circle,Characters inside the circle in the image are characters that are made up of two identical shapes or two nearly identical shapes connected.,"are shaped like an approximate B, 3, or E shape, which may be flipped"
106,color,Characters colored red in the image are characters that have open tops.,"are shaped like an approximate B, 3, or E shape, which may be flipped"
106,leftright,Characters on the right side in the image are characters that contain a closed loop.,"are shaped like an approximate B, 3, or E shape, which may be flipped"
107,circle,The characters inside the circle are rotated 180 degrees relative to the characters outside the circle.,resemble a lowercase N or have an N shape
107,color,Characters colored red in the image are characters that are closed figures.,resemble a lowercase N or have an N shape
107,leftright,Characters on the right side in the image are characters that contain a horizontal stroke that does not touch any other strokes.,resemble a lowercase N or have an N shape
108,circle,Characters inside the circle in the image are characters that have a loop on the bottom.,require multiple strokes of the pen to be written
108,color,Characters colored red in the image are characters that contain a loop that opens to the left.,require multiple strokes of the pen to be written
108,leftright,"Characters on the right side in the image are characters that are entirely composed of simple, non-curved strokes.",require multiple strokes of the pen to be written
109,circle,Characters inside the circle in the image are characters that contain a circle.,resemble a phallus or penis
109,color,"Characters colored red in the image are characters that are made of entirely straight lines, with no curves.",resemble a phallus or penis
109,leftright,"Characters on the right side in the image are characters that have small, completely enclosed circles as part of the character.",resemble a phallus or penis
10,circle,Characters inside the circle in the image are characters that are made up of two identical shapes mirrored across a vertical axis.,have a horizontal cross stroke creating 4 quadrants
10,color,Characters colored red in the image are characters that contain a small circle above a larger circle or curve.,have a horizontal cross stroke creating 4 quadrants
10,leftright,Characters on the right side in the image contain two dots above each other.,have a horizontal cross stroke creating 4 quadrants
110,circle,Characters inside the circle in the image are characters that have perfect rotational symmetry.,have circular shapes or contain circles
110,color,Characters colored red in the image are characters that contain a circle.,have circular shapes or contain circles
110,leftright,Characters on the right side in the image are characters that have a circle as part of the character.,have circular shapes or contain circles
