rule_id,visual,answer,most_frequent_output,correctness
85,circle,D,D,True
28,circle,A,A,True
60,color,A,B,False
43,leftright,B,B,True
30,circle,B,B,True
46,color,B,B,True
99,color,B,B,True
132,color,D,C,False
215,color,C,C,True
72,circle,C,B,False
270,leftright,A,A,True
255,leftright,D,D,True
331,circle,A,D,False
32,leftright,B,A,False
170,leftright,C,C,True
63,circle,B,A,False
160,leftright,C,D,False
91,color,C,C,True
180,color,A,A,True
248,color,A,D,False
272,circle,C,C,True
75,color,B,B,True
319,circle,D,B,False
9,color,B,C,False
128,circle,B,B,True
322,color,C,C,True
199,leftright,B,D,False
61,color,D,C,False
203,leftright,B,B,True
312,circle,C,C,True
154,leftright,C,C,True
127,color,A,B,False
211,color,B,B,True
303,leftright,C,C,True
72,leftright,A,D,False
225,leftright,B,C,False
254,leftright,C,C,True
7,circle,D,A,False
244,leftright,B,B,True
96,color,B,B,True
27,leftright,A,A,True
278,color,A,A,True
330,color,A,A,True
74,color,C,C,True
83,leftright,D,B,False
123,color,A,A,True
326,leftright,C,C,True
86,leftright,D,D,True
319,color,C,C,True
275,circle,C,B,False
289,color,B,A,False
247,leftright,A,A,True
130,circle,B,C,False
146,leftright,C,C,True
268,leftright,A,A,True
162,color,A,A,True
151,circle,C,D,False
310,leftright,D,D,True
102,circle,C,C,True
38,color,A,A,True
302,circle,B,C,False
264,leftright,D,B,False
152,color,B,B,True
181,circle,C,C,True
234,color,D,D,True
114,circle,D,A,False
335,circle,A,C,False
108,leftright,B,C,False
78,leftright,B,A,False
35,color,A,A,True
315,leftright,B,D,False
9,circle,C,A,False
98,leftright,D,C,False
217,color,C,B,False
130,color,C,A,False
20,circle,B,B,True
274,color,B,B,True
6,color,C,D,False
38,leftright,D,D,True
246,circle,B,B,True
207,color,D,D,True
328,circle,D,D,True
203,color,D,D,True
211,leftright,C,C,True
270,color,D,D,True
262,color,B,B,True
111,circle,A,A,True
274,circle,A,A,True
189,leftright,B,B,True
48,color,C,C,True
174,leftright,C,C,True
259,color,B,C,False
309,circle,B,C,False
191,circle,B,C,False
95,leftright,B,D,False
158,color,A,A,True
110,color,A,A,True
301,color,B,A,False
13,circle,C,A,False
19,leftright,C,C,True
103,color,D,C,False
224,circle,A,B,False
242,color,C,A,False
18,circle,C,C,True
124,color,C,A,False
76,circle,A,B,False
114,leftright,A,A,True
174,color,D,A,False
191,leftright,D,D,True
30,leftright,C,C,True
84,circle,A,D,False
154,circle,A,A,True
258,color,D,B,False
193,leftright,C,B,False
110,circle,D,D,True
257,color,B,B,True
11,circle,A,C,False
234,circle,A,A,True
113,color,A,B,False
52,leftright,D,D,True
203,circle,C,C,True
69,color,A,A,True
148,circle,D,C,False
168,circle,B,D,False
123,leftright,A,C,False
146,color,A,A,True
126,leftright,A,D,False
186,color,B,B,True
166,color,A,A,True
261,color,D,D,True
161,leftright,C,D,False
46,leftright,A,A,True
116,circle,C,B,False
35,circle,D,D,True
62,leftright,B,A,False
101,circle,B,C,False
294,color,C,B,False
199,circle,A,B,False
271,color,C,C,True
240,color,A,C,False
105,leftright,D,B,False
252,circle,B,B,True
20,leftright,C,B,False
53,circle,C,C,True
174,circle,B,B,True
47,circle,B,B,True
112,leftright,D,D,True
30,color,D,D,True
316,circle,A,B,False
255,color,D,D,True
293,leftright,D,D,True
22,color,B,B,True
184,leftright,D,D,True
280,leftright,C,C,True
10,circle,D,B,False
11,color,C,C,True
59,color,C,C,True
281,color,B,B,True
273,circle,D,D,True
247,circle,A,B,False
201,circle,D,D,True
305,circle,D,A,False
159,leftright,A,B,False
260,color,A,D,False
307,color,D,B,False
287,circle,C,B,False
100,circle,C,C,True
277,color,A,A,True
68,color,B,C,False
43,circle,A,A,True
89,leftright,B,B,True
325,leftright,D,D,True
170,color,D,D,True
52,color,D,D,True
184,circle,C,D,False
334,leftright,C,D,False
129,leftright,C,D,False
107,circle,C,C,True
157,leftright,A,A,True
267,color,B,A,False
93,color,A,B,False
41,color,A,C,False
80,circle,B,B,True
315,circle,C,B,False
151,color,A,B,False
306,circle,D,C,False
251,circle,C,C,True
17,leftright,B,D,False
284,leftright,C,D,False
95,color,A,D,False
254,circle,B,C,False
33,circle,C,C,True
208,color,A,A,True
197,color,B,B,True
35,leftright,B,B,True
238,color,A,C,False
221,circle,A,C,False
113,circle,C,D,False
54,leftright,A,A,True
263,leftright,C,C,True
191,color,A,A,True
155,leftright,D,A,False
73,circle,C,B,False
324,leftright,D,D,True
281,circle,A,A,True
243,leftright,D,D,True
195,circle,A,A,True
26,circle,C,B,False
29,leftright,A,B,False
213,leftright,D,D,True
282,leftright,B,B,True
280,color,C,C,True
318,color,D,D,True
189,circle,B,A,False
69,circle,A,C,False
16,leftright,D,B,False
60,leftright,A,B,False
120,leftright,A,D,False
171,leftright,A,A,True
265,leftright,C,D,False
251,color,C,C,True
321,circle,D,A,False
78,circle,B,A,False
297,circle,A,D,False
195,color,B,B,True
39,leftright,A,A,True
92,color,D,D,True
32,color,B,C,False
254,color,B,B,True
332,leftright,B,B,True
14,color,C,C,True
19,circle,A,A,True
8,leftright,D,D,True
209,color,A,A,True
34,leftright,A,B,False
198,leftright,C,C,True
70,leftright,A,C,False
159,circle,C,B,False
292,color,C,C,True
268,circle,D,D,True
165,leftright,A,C,False
31,circle,A,D,False
64,circle,C,B,False
300,color,C,D,False
260,leftright,A,B,False
229,color,B,C,False
321,leftright,C,C,True
155,color,C,D,False
110,leftright,B,B,True
248,circle,B,B,True
77,color,A,A,True
70,color,A,B,False
233,leftright,C,C,True
7,color,D,A,False
320,color,B,C,False
116,leftright,D,D,True
50,circle,C,C,True
188,leftright,D,C,False
121,leftright,C,B,False
79,circle,C,D,False
291,leftright,C,C,True
176,circle,A,A,True
24,circle,D,B,False
223,color,C,B,False
147,leftright,B,D,False
307,leftright,B,A,False
326,color,C,A,False
300,circle,C,B,False
215,circle,B,B,True
223,circle,D,A,False
183,leftright,B,D,False
166,leftright,B,B,True
173,circle,A,B,False
194,color,C,C,True
273,leftright,B,B,True
124,circle,D,D,True
169,circle,C,D,False
271,leftright,D,D,True
126,circle,D,D,True
157,color,D,B,False
70,circle,A,B,False
175,color,D,C,False
173,color,A,A,True
256,color,A,A,True
226,circle,B,B,True
287,color,D,D,True
279,circle,A,B,False
175,leftright,A,D,False
74,circle,A,D,False
108,color,A,C,False
55,color,A,A,True
253,color,C,B,False
316,color,B,B,True
32,circle,A,D,False
306,color,D,B,False
28,leftright,D,C,False
125,circle,A,C,False
234,leftright,A,A,True
240,leftright,D,D,True
117,color,C,C,True
37,circle,B,A,False
246,leftright,A,D,False
233,color,A,B,False
302,color,A,B,False
305,leftright,C,A,False
321,color,C,A,False
57,leftright,C,C,True
299,leftright,B,D,False
213,circle,A,A,True
227,color,C,B,False
18,leftright,D,D,True
15,color,D,B,False
177,circle,B,C,False
226,leftright,D,D,True
172,color,B,B,True
296,color,D,B,False
39,circle,B,B,True
176,leftright,B,B,True
6,leftright,C,D,False
227,circle,A,C,False
253,circle,B,B,True
230,leftright,C,D,False
97,circle,D,B,False
168,color,A,D,False
7,leftright,D,C,False
227,leftright,A,C,False
304,color,B,B,True
160,circle,B,B,True
283,circle,B,A,False
202,circle,D,D,True
116,color,A,B,False
94,leftright,A,B,False
177,color,B,C,False
111,leftright,B,B,True
34,color,B,B,True
206,circle,A,A,True
236,color,C,C,True
49,color,B,B,True
216,leftright,A,D,False
33,color,A,B,False
237,circle,C,B,False
37,color,B,B,True
172,leftright,C,B,False
57,circle,B,B,True
189,color,A,B,False
101,color,C,C,True
66,circle,C,C,True
91,circle,B,B,True
118,circle,D,C,False
151,leftright,D,D,True
231,leftright,C,C,True
318,circle,A,B,False
33,leftright,B,B,True
20,color,B,B,True
68,circle,C,C,True
104,leftright,B,B,True
94,circle,B,D,False
250,leftright,C,C,True
256,leftright,D,A,False
233,circle,D,B,False
98,color,C,C,True
329,leftright,B,D,False
149,circle,A,D,False
193,color,C,D,False
67,circle,B,B,True
147,circle,D,B,False
283,color,D,C,False
87,leftright,B,B,True
226,color,D,D,True
292,circle,C,C,True
78,color,A,C,False
295,color,B,B,True
81,color,D,A,False
187,leftright,B,B,True
168,leftright,B,D,False
31,color,C,A,False
327,circle,C,C,True
12,color,D,B,False
31,leftright,B,D,False
167,color,B,B,True
103,leftright,C,C,True
309,leftright,A,D,False
311,circle,B,B,True
185,circle,A,C,False
100,leftright,B,B,True
296,leftright,D,D,True
53,leftright,C,C,True
311,color,C,C,True
323,leftright,D,D,True
217,circle,A,B,False
236,circle,A,D,False
