rule_id,visual,answer,most_frequent_output,correctness
85,circle,D,C,False
28,circle,A,D,False
60,color,A,D,False
43,leftright,B,D,False
30,circle,B,B,True
46,color,B,D,False
99,color,B,D,False
132,color,D,C,False
215,color,C,C,True
72,circle,C,C,True
270,leftright,A,D,False
255,leftright,D,C,False
331,circle,A,C,False
32,leftright,B,A,False
170,leftright,C,D,False
63,circle,B,D,False
160,leftright,C,D,False
91,color,C,D,False
180,color,A,D,False
248,color,A,B,False
272,circle,C,A,False
75,color,B,A,False
319,circle,D,B,False
9,color,B,D,False
128,circle,B,D,False
322,color,C,B,False
199,leftright,B,D,False
61,color,D,A,False
203,leftright,B,B,True
312,circle,C,C,True
154,leftright,C,C,True
127,color,A,A,True
211,color,B,D,False
303,leftright,C,C,True
72,leftright,A,A,True
225,leftright,B,D,False
254,leftright,C,C,True
7,circle,D,B,False
244,leftright,B,B,True
96,color,B,D,False
27,leftright,A,C,False
278,color,A,A,True
330,color,A,D,False
74,color,C,D,False
83,leftright,D,C,False
123,color,A,D,False
326,leftright,C,C,True
86,leftright,D,C,False
319,color,C,D,False
275,circle,C,C,True
289,color,B,D,False
247,leftright,A,B,False
130,circle,B,C,False
146,leftright,C,D,False
268,leftright,A,C,False
162,color,A,D,False
151,circle,C,A,False
310,leftright,D,D,True
102,circle,C,B,False
38,color,A,D,False
302,circle,B,C,False
264,leftright,D,D,True
152,color,B,C,False
181,circle,C,C,True
234,color,D,C,False
114,circle,D,B,False
335,circle,A,C,False
108,leftright,B,C,False
78,leftright,B,A,False
35,color,A,B,False
315,leftright,B,D,False
9,circle,C,D,False
98,leftright,D,C,False
217,color,C,D,False
130,color,C,A,False
20,circle,B,A,False
274,color,B,B,True
6,color,C,C,True
38,leftright,D,C,False
246,circle,B,B,True
207,color,D,D,True
328,circle,D,D,True
203,color,D,D,True
211,leftright,C,C,True
270,color,D,D,True
262,color,B,B,True
111,circle,A,D,False
274,circle,A,A,True
189,leftright,B,A,False
48,color,C,C,True
174,leftright,C,C,True
259,color,B,D,False
309,circle,B,C,False
191,circle,B,C,False
95,leftright,B,A,False
158,color,A,A,True
110,color,A,D,False
301,color,B,D,False
13,circle,C,C,True
19,leftright,C,C,True
103,color,D,D,True
224,circle,A,D,False
242,color,C,C,True
18,circle,C,A,False
124,color,C,A,False
76,circle,A,C,False
114,leftright,A,B,False
174,color,D,D,True
191,leftright,D,C,False
30,leftright,C,C,True
84,circle,A,A,True
154,circle,A,B,False
258,color,D,D,True
193,leftright,C,D,False
110,circle,D,D,True
257,color,B,B,True
11,circle,A,C,False
234,circle,A,D,False
113,color,A,B,False
52,leftright,D,A,False
203,circle,C,C,True
69,color,A,B,False
148,circle,D,D,True
168,circle,B,D,False
123,leftright,A,C,False
146,color,A,C,False
126,leftright,A,B,False
186,color,B,C,False
166,color,A,D,False
261,color,D,C,False
161,leftright,C,B,False
46,leftright,A,A,True
116,circle,C,C,True
