rule_id,visual,answer,most_frequent_output,correctness
85,circle,D,A,False
28,circle,A,B,False
60,color,A,B,False
43,leftright,B,B,True
30,circle,B,B,True
46,color,B,B,True
99,color,B,B,True
132,color,D,D,True
215,color,C,C,True
72,circle,C,A,False
270,leftright,A,C,False
255,leftright,D,C,False
331,circle,A,B,False
32,leftright,B,A,False
170,leftright,C,D,False
63,circle,B,D,False
160,leftright,C,D,False
91,color,C,B,False
180,color,A,A,True
248,color,A,B,False
272,circle,C,B,False
75,color,B,B,True
319,circle,D,B,False
9,color,B,D,False
128,circle,B,B,True
322,color,C,B,False
199,leftright,B,A,False
61,color,D,B,False
203,leftright,B,A,False
312,circle,C,B,False
154,leftright,C,C,True
127,color,A,B,False
211,color,B,B,True
303,leftright,C,C,True
72,leftright,A,D,False
225,leftright,B,C,False
254,leftright,C,C,True
7,circle,D,B,False
244,leftright,B,C,False
96,color,B,B,True
27,leftright,A,A,True
278,color,A,A,True
330,color,A,B,False
74,color,C,C,True
83,leftright,D,B,False
123,color,A,D,False
326,leftright,C,B,False
86,leftright,D,D,True
319,color,C,C,True
275,circle,C,C,True
289,color,B,B,True
247,leftright,A,A,True
130,circle,B,C,False
146,leftright,C,D,False
268,leftright,A,A,True
162,color,A,B,False
151,circle,C,C,True
310,leftright,D,D,True
102,circle,C,C,True
38,color,A,C,False
302,circle,B,B,True
264,leftright,D,C,False
152,color,B,B,True
181,circle,C,C,True
234,color,D,C,False
114,circle,D,C,False
335,circle,A,C,False
108,leftright,B,D,False
78,leftright,B,C,False
35,color,A,B,False
315,leftright,B,B,True
9,circle,C,B,False
98,leftright,D,D,True
217,color,C,B,False
130,color,C,C,True
20,circle,B,B,True
274,color,B,D,False
6,color,C,B,False
38,leftright,D,C,False
246,circle,B,C,False
207,color,D,B,False
328,circle,D,A,False
203,color,D,A,False
211,leftright,C,C,True
270,color,D,B,False
262,color,B,B,True
111,circle,A,B,False
274,circle,A,B,False
189,leftright,B,B,True
48,color,C,B,False
174,leftright,C,D,False
259,color,B,C,False
309,circle,B,B,True
191,circle,B,C,False
95,leftright,B,B,True
158,color,A,C,False
110,color,A,C,False
301,color,B,C,False
13,circle,C,C,True
19,leftright,C,A,False
103,color,D,D,True
224,circle,A,C,False
242,color,C,B,False
18,circle,C,D,False
124,color,C,B,False
76,circle,A,C,False
114,leftright,A,C,False
174,color,D,A,False
191,leftright,D,C,False
30,leftright,C,C,True
84,circle,A,B,False
154,circle,A,A,True
258,color,D,A,False
193,leftright,C,A,False
110,circle,D,D,True
257,color,B,C,False
11,circle,A,C,False
234,circle,A,A,True
113,color,A,D,False
52,leftright,D,C,False
203,circle,C,C,True
69,color,A,A,True
148,circle,D,B,False
168,circle,B,D,False
123,leftright,A,C,False
146,color,A,B,False
126,leftright,A,D,False
186,color,B,B,True
166,color,A,A,True
261,color,D,D,True
161,leftright,C,C,True
46,leftright,A,A,True
116,circle,C,A,False
35,circle,D,B,False
62,leftright,B,A,False
101,circle,B,B,True
294,color,C,A,False
199,circle,A,B,False
271,color,C,A,False
240,color,A,B,False
105,leftright,D,B,False
252,circle,B,C,False
20,leftright,C,B,False
53,circle,C,C,True
174,circle,B,A,False
47,circle,B,A,False
112,leftright,D,A,False
30,color,D,D,True
316,circle,A,D,False
255,color,D,B,False
293,leftright,D,D,True
22,color,B,A,False
184,leftright,D,B,False
280,leftright,C,B,False
10,circle,D,B,False
11,color,C,A,False
59,color,C,B,False
281,color,B,B,True
273,circle,D,C,False
247,circle,A,C,False
201,circle,D,A,False
305,circle,D,A,False
159,leftright,A,C,False
260,color,A,D,False
307,color,D,B,False
287,circle,C,B,False
100,circle,C,C,True
277,color,A,A,True
68,color,B,C,False
43,circle,A,C,False
89,leftright,B,B,True
325,leftright,D,A,False
170,color,D,B,False
52,color,D,B,False
184,circle,C,B,False
334,leftright,C,C,True
129,leftright,C,C,True
107,circle,C,C,True
157,leftright,A,A,True
267,color,B,A,False
93,color,A,B,False
41,color,A,C,False
80,circle,B,D,False
315,circle,C,D,False
151,color,A,D,False
306,circle,D,C,False
251,circle,C,B,False
17,leftright,B,C,False
284,leftright,C,B,False
95,color,A,B,False
254,circle,B,C,False
33,circle,C,C,True
208,color,A,C,False
197,color,B,B,True
35,leftright,B,D,False
238,color,A,D,False
221,circle,A,D,False
113,circle,C,C,True
54,leftright,A,C,False
263,leftright,C,A,False
191,color,A,A,True
155,leftright,D,C,False
73,circle,C,B,False
324,leftright,D,C,False
281,circle,A,A,True
243,leftright,D,B,False
195,circle,A,B,False
26,circle,C,D,False
29,leftright,A,C,False
213,leftright,D,D,True
282,leftright,B,D,False
280,color,C,A,False
318,color,D,B,False
189,circle,B,B,True
69,circle,A,D,False
16,leftright,D,B,False
60,leftright,A,B,False
120,leftright,A,D,False
171,leftright,A,A,True
265,leftright,C,D,False
251,color,C,C,True
321,circle,D,B,False
78,circle,B,B,True
297,circle,A,C,False
195,color,B,A,False
39,leftright,A,C,False
92,color,D,C,False
32,color,B,D,False
254,color,B,B,True
332,leftright,B,A,False
14,color,C,B,False
19,circle,A,B,False
8,leftright,D,D,True
209,color,A,B,False
34,leftright,A,B,False
198,leftright,C,C,True
70,leftright,A,C,False
159,circle,C,A,False
292,color,C,C,True
268,circle,D,B,False
165,leftright,A,C,False
31,circle,A,B,False
64,circle,C,B,False
300,color,C,C,True
260,leftright,A,C,False
229,color,B,D,False
321,leftright,C,A,False
155,color,C,C,True
110,leftright,B,C,False
248,circle,B,C,False
77,color,A,A,True
70,color,A,D,False
233,leftright,C,C,True
7,color,D,A,False
320,color,B,B,True
116,leftright,D,B,False
50,circle,C,C,True
188,leftright,D,B,False
121,leftright,C,C,True
79,circle,C,A,False
291,leftright,C,C,True
176,circle,A,B,False
24,circle,D,B,False
223,color,C,A,False
147,leftright,B,A,False
307,leftright,B,B,True
326,color,C,B,False
300,circle,C,C,True
215,circle,B,B,True
223,circle,D,A,False
183,leftright,B,B,True
166,leftright,B,B,True
173,circle,A,C,False
194,color,C,B,False
273,leftright,B,C,False
124,circle,D,B,False
169,circle,C,D,False
271,leftright,D,C,False
126,circle,D,A,False
157,color,D,B,False
70,circle,A,C,False
175,color,D,A,False
173,color,A,C,False
256,color,A,B,False
226,circle,B,C,False
287,color,D,B,False
279,circle,A,D,False
175,leftright,A,A,True
74,circle,A,B,False
108,color,A,A,True
55,color,A,C,False
253,color,C,C,True
316,color,B,D,False
32,circle,A,D,False
306,color,D,B,False
28,leftright,D,C,False
125,circle,A,A,True
234,leftright,A,C,False
240,leftright,D,B,False
117,color,C,B,False
37,circle,B,B,True
246,leftright,A,C,False
233,color,A,B,False
302,color,A,B,False
305,leftright,C,A,False
321,color,C,C,True
57,leftright,C,C,True
299,leftright,B,C,False
213,circle,A,A,True
227,color,C,B,False
18,leftright,D,B,False
15,color,D,A,False
177,circle,B,C,False
226,leftright,D,D,True
172,color,B,D,False
296,color,D,C,False
39,circle,B,B,True
176,leftright,B,D,False
6,leftright,C,A,False
227,circle,A,D,False
253,circle,B,B,True
230,leftright,C,D,False
97,circle,D,C,False
168,color,A,C,False
7,leftright,D,C,False
227,leftright,A,C,False
304,color,B,A,False
160,circle,B,B,True
283,circle,B,C,False
202,circle,D,D,True
116,color,A,B,False
94,leftright,A,A,True
177,color,B,C,False
111,leftright,B,C,False
34,color,B,C,False
206,circle,A,A,True
236,color,C,B,False
49,color,B,D,False
216,leftright,A,D,False
33,color,A,B,False
237,circle,C,B,False
37,color,B,B,True
172,leftright,C,C,True
