Model,Choices,ImageStyle,Accuracy
GPT-4o,4,circle,0.5126
GPT-4o,4,color,0.5755
GPT-4o,4,leftright,0.5786
Gemini-1.5-Pro,4,circle,0.4057
Gemini-1.5-Pro,4,color,0.5094
Gemini-1.5-Pro,4,leftright,0.4969
Idefics2,4,circle,0.346
Idefics2,4,color,0.308
Idefics2,4,leftright,0.29
Idefics3,4,circle,0.3020
Idefics3,4,color,0.387
Idefics3,4,leftright,0.340
LLaVA-NeXT,4,circle,0.3050
LLaVA-NeXT,4,color,0.3553
LLaVA-NeXT,4,leftright,0.3270
InstructBLIP,4,circle,0.2264
InstructBLIP,4,color,0.2358
InstructBLIP,4,leftright,0.2610
Answers-Only,4,circle,0.2547
Answers-Only,4,color,0.2390
Answers-Only,4,leftright,0.2736
random,4,circle,0.25
random,4,color,0.25
random,4,leftright,0.25
