rule_id,visual,answer,most_frequent_output,correctness
85,circle,D,D,True
28,circle,A,A,True
60,color,A,B,False
43,leftright,B,B,True
30,circle,B,B,True
46,color,B,C,False
99,color,B,B,True
132,color,D,D,True
215,color,C,C,True
72,circle,C,C,True
270,leftright,A,D,False
255,leftright,D,None,False
331,circle,A,C,False
32,leftright,B,C,False
170,leftright,C,C,True
63,circle,B,D,False
160,leftright,C,C,True
91,color,C,C,True
180,color,A,A,True
248,color,A,C,False
272,circle,C,C,True
75,color,B,C,False
319,circle,D,B,False
9,color,B,None,False
128,circle,B,B,True
322,color,C,B,False
199,leftright,B,C,False
61,color,D,D,True
203,leftright,B,B,True
312,circle,C,C,True
154,leftright,C,C,True
127,color,A,D,False
211,color,B,B,True
303,leftright,C,C,True
72,leftright,A,D,False
225,leftright,B,B,True
254,leftright,C,B,False
7,circle,D,D,True
244,leftright,B,D,False
96,color,B,A,False
27,leftright,A,D,False
278,color,A,A,True
330,color,A,D,False
74,color,C,C,True
83,leftright,D,B,False
123,color,A,C,False
326,leftright,C,D,False
86,leftright,D,D,True
319,color,C,A,False
275,circle,C,C,True
289,color,B,None,False
247,leftright,A,D,False
130,circle,B,C,False
146,leftright,C,C,True
268,leftright,A,D,False
162,color,A,A,True
151,circle,C,A,False
310,leftright,D,D,True
102,circle,C,C,True
38,color,A,A,True
302,circle,B,C,False
264,leftright,D,D,True
152,color,B,C,False
181,circle,C,None,False
234,color,D,D,True
114,circle,D,D,True
335,circle,A,C,False
108,leftright,B,C,False
78,leftright,B,C,False
35,color,A,A,True
315,leftright,B,A,False
9,circle,C,None,False
98,leftright,D,D,True
217,color,C,B,False
130,color,C,A,False
20,circle,B,C,False
274,color,B,D,False
6,color,C,C,True
38,leftright,D,D,True
246,circle,B,B,True
207,color,D,D,True
328,circle,D,D,True
203,color,D,D,True
211,leftright,C,C,True
270,color,D,D,True
262,color,B,B,True
111,circle,A,B,False
274,circle,A,A,True
189,leftright,B,C,False
48,color,C,D,False
174,leftright,C,C,True
259,color,B,C,False
309,circle,B,B,True
191,circle,B,C,False
95,leftright,B,B,True
158,color,A,A,True
110,color,A,D,False
301,color,B,B,True
13,circle,C,D,False
19,leftright,C,B,False
103,color,D,C,False
224,circle,A,C,False
242,color,C,C,True
18,circle,C,B,False
124,color,C,C,True
76,circle,A,D,False
114,leftright,A,A,True
174,color,D,D,True
191,leftright,D,C,False
30,leftright,C,C,True
84,circle,A,D,False
154,circle,A,B,False
258,color,D,D,True
193,leftright,C,A,False
110,circle,D,C,False
257,color,B,C,False
11,circle,A,C,False
234,circle,A,D,False
113,color,A,B,False
52,leftright,D,B,False
203,circle,C,C,True
69,color,A,C,False
148,circle,D,C,False
168,circle,B,D,False
123,leftright,A,C,False
146,color,A,A,True
126,leftright,A,D,False
186,color,B,B,True
166,color,A,A,True
261,color,D,D,True
161,leftright,C,D,False
46,leftright,A,A,True
116,circle,C,C,True
35,circle,D,D,True
62,leftright,B,D,False
101,circle,B,D,False
294,color,C,D,False
199,circle,A,D,False
271,color,C,C,True
240,color,A,A,True
105,leftright,D,C,False
252,circle,B,B,True
20,leftright,C,C,True
53,circle,C,B,False
174,circle,B,B,True
47,circle,B,B,True
112,leftright,D,D,True
30,color,D,D,True
316,circle,A,B,False
255,color,D,None,False
293,leftright,D,D,True
22,color,B,C,False
184,leftright,D,D,True
280,leftright,C,C,True
10,circle,D,C,False
11,color,C,D,False
59,color,C,C,True
281,color,B,B,True
273,circle,D,D,True
247,circle,A,B,False
201,circle,D,B,False
305,circle,D,B,False
159,leftright,A,C,False
260,color,A,A,True
307,color,D,C,False
287,circle,C,C,True
100,circle,C,C,True
277,color,A,B,False
68,color,B,D,False
43,circle,A,A,True
89,leftright,B,D,False
325,leftright,D,D,True
170,color,D,D,True
52,color,D,A,False
184,circle,C,D,False
334,leftright,C,B,False
129,leftright,C,C,True
107,circle,C,C,True
157,leftright,A,A,True
267,color,B,D,False
93,color,A,C,False
41,color,A,B,False
80,circle,B,D,False
315,circle,C,C,True
151,color,A,C,False
306,circle,D,C,False
251,circle,C,B,False
17,leftright,B,B,True
284,leftright,C,D,False
95,color,A,B,False
254,circle,B,C,False
33,circle,C,A,False
208,color,A,A,True
197,color,B,B,True
35,leftright,B,B,True
238,color,A,C,False
221,circle,A,D,False
113,circle,C,D,False
54,leftright,A,B,False
263,leftright,C,C,True
191,color,A,A,True
155,leftright,D,D,True
73,circle,C,A,False
324,leftright,D,B,False
281,circle,A,A,True
243,leftright,D,A,False
195,circle,A,C,False
26,circle,C,D,False
29,leftright,A,B,False
213,leftright,D,D,True
282,leftright,B,B,True
280,color,C,C,True
318,color,D,A,False
189,circle,B,A,False
69,circle,A,C,False
16,leftright,D,D,True
60,leftright,A,D,False
120,leftright,A,C,False
171,leftright,A,A,True
265,leftright,C,D,False
251,color,C,C,True
321,circle,D,D,True
78,circle,B,A,False
297,circle,A,B,False
195,color,B,B,True
39,leftright,A,A,True
92,color,D,B,False
32,color,B,D,False
254,color,B,D,False
332,leftright,B,A,False
14,color,C,D,False
19,circle,A,D,False
8,leftright,D,D,True
209,color,A,A,True
34,leftright,A,D,False
198,leftright,C,C,True
70,leftright,A,C,False
159,circle,C,A,False
292,color,C,A,False
268,circle,D,B,False
165,leftright,A,A,True
31,circle,A,A,True
64,circle,C,C,True
300,color,C,D,False
260,leftright,A,A,True
229,color,B,C,False
321,leftright,C,C,True
155,color,C,C,True
110,leftright,B,C,False
248,circle,B,C,False
77,color,A,C,False
70,color,A,D,False
233,leftright,C,C,True
7,color,D,D,True
320,color,B,C,False
116,leftright,D,C,False
50,circle,C,C,True
188,leftright,D,A,False
121,leftright,C,B,False
79,circle,C,B,False
291,leftright,C,D,False
176,circle,A,A,True
24,circle,D,B,False
223,color,C,C,True
147,leftright,B,D,False
307,leftright,B,C,False
326,color,C,C,True
300,circle,C,C,True
215,circle,B,B,True
223,circle,D,B,False
183,leftright,B,A,False
166,leftright,B,B,True
173,circle,A,C,False
194,color,C,C,True
273,leftright,B,B,True
124,circle,D,A,False
169,circle,C,B,False
271,leftright,D,D,True
126,circle,D,D,True
157,color,D,D,True
70,circle,A,C,False
175,color,D,D,True
173,color,A,A,True
256,color,A,B,False
226,circle,B,C,False
287,color,D,D,True
279,circle,A,D,False
175,leftright,A,D,False
74,circle,A,B,False
108,color,A,D,False
55,color,A,A,True
253,color,C,C,True
316,color,B,D,False
32,circle,A,D,False
306,color,D,B,False
28,leftright,D,D,True
125,circle,A,D,False
234,leftright,A,A,True
240,leftright,D,D,True
117,color,C,C,True
37,circle,B,C,False
246,leftright,A,D,False
233,color,A,D,False
302,color,A,D,False
305,leftright,C,C,True
321,color,C,C,True
57,leftright,C,C,True
299,leftright,B,C,False
213,circle,A,A,True
227,color,C,C,True
18,leftright,D,D,True
15,color,D,B,False
177,circle,B,C,False
226,leftright,D,D,True
172,color,B,A,False
296,color,D,D,True
39,circle,B,B,True
176,leftright,B,A,False
6,leftright,C,B,False
227,circle,A,C,False
253,circle,B,B,True
230,leftright,C,D,False
97,circle,D,C,False
168,color,A,A,True
7,leftright,D,A,False
227,leftright,A,C,False
304,color,B,A,False
160,circle,B,C,False
283,circle,B,D,False
202,circle,D,D,True
116,color,A,D,False
94,leftright,A,B,False
177,color,B,D,False
111,leftright,B,D,False
34,color,B,A,False
206,circle,A,A,True
236,color,C,C,True
49,color,B,B,True
216,leftright,A,A,True
33,color,A,C,False
237,circle,C,B,False
37,color,B,D,False
172,leftright,C,D,False
57,circle,B,B,True
189,color,A,A,True
101,color,C,C,True
66,circle,C,A,False
91,circle,B,D,False
118,circle,D,D,True
151,leftright,D,C,False
231,leftright,C,C,True
318,circle,A,D,False
33,leftright,B,B,True
20,color,B,B,True
68,circle,C,B,False
104,leftright,B,B,True
94,circle,B,A,False
250,leftright,C,C,True
256,leftright,D,D,True
233,circle,D,C,False
98,color,C,C,True
329,leftright,B,D,False
149,circle,A,A,True
193,color,C,A,False
67,circle,B,C,False
147,circle,D,D,True
283,color,D,A,False
87,leftright,B,C,False
226,color,D,A,False
292,circle,C,D,False
78,color,A,C,False
295,color,B,B,True
81,color,D,B,False
187,leftright,B,C,False
168,leftright,B,D,False
31,color,C,C,True
327,circle,C,D,False
12,color,D,D,True
31,leftright,B,B,True
167,color,B,B,True
103,leftright,C,D,False
309,leftright,A,B,False
311,circle,B,C,False
185,circle,A,B,False
100,leftright,B,B,True
296,leftright,D,A,False
53,leftright,C,B,False
311,color,C,C,True
323,leftright,D,D,True
217,circle,A,C,False
236,circle,A,D,False
