rule_id,visual,correctness_gemini,correctness_gpt,correctness_llavanext,correctness_instructblip,correctness_idefics2,correctness_idefics3,class,length,script,parse_depth
5,circle,False,True,True,False,True,True,specific,48,Avestan,6
5,color,False,True,True,False,True,True,specific,48,Avestan,6
5,leftright,False,True,False,False,True,True,specific,48,Avestan,6
6,circle,True,False,True,True,True,False,enclosed,42,Avestan,4
6,color,True,True,False,True,False,True,enclosed,42,Avestan,4
6,leftright,False,False,False,False,False,False,enclosed,42,Avestan,4
7,circle,True,False,False,True,False,False,none,75,Avestan,7
7,color,True,False,False,True,False,False,none,75,Avestan,7
7,leftright,False,True,False,True,False,False,none,75,Avestan,7
8,circle,True,True,False,True,True,True,specific,82,Avestan,5
8,color,True,True,True,False,True,True,specific,82,Avestan,5
8,leftright,True,True,True,True,True,False,specific,82,Avestan,5
9,circle,False,False,False,False,False,False,symmetry,30,Avestan,5
9,color,False,False,False,False,False,False,symmetry,30,Avestan,5
9,leftright,False,False,False,False,False,False,symmetry,30,Avestan,5
10,circle,False,False,False,True,False,False,none,51,Avestan,5
10,color,False,False,False,False,False,False,none,51,Avestan,5
10,leftright,False,False,False,False,False,False,none,51,Avestan,5
11,circle,False,False,False,False,False,False,stroke,38,Avestan,4
11,color,False,True,False,False,False,False,stroke,38,Avestan,4
11,leftright,True,True,True,False,False,True,stroke,38,Avestan,4
12,circle,True,True,True,False,True,False,none,65,Adlam,5
12,color,True,True,True,True,False,True,none,65,Adlam,5
12,leftright,False,True,True,False,False,True,none,65,Adlam,5
13,circle,False,False,False,True,True,False,none,79,Adlam,5
13,color,False,False,True,False,False,False,none,79,Adlam,5
13,leftright,False,True,True,False,False,True,none,79,Adlam,5
14,circle,False,False,False,False,True,False,symmetry,26,Adlam,3
14,color,False,False,False,False,False,False,symmetry,26,Adlam,3
14,leftright,False,True,False,False,True,False,symmetry,26,Adlam,3
15,circle,False,True,False,False,False,False,cross,32,Adlam,5
15,color,False,False,False,False,False,False,cross,32,Adlam,5
15,leftright,False,True,False,False,False,False,cross,32,Adlam,5
16,circle,True,True,True,False,True,True,enclosed,40,Adlam,5
16,color,False,False,True,False,True,False,enclosed,40,Adlam,5
16,leftright,True,False,True,True,False,True,enclosed,40,Adlam,5
17,circle,False,False,False,True,False,False,none,80,Adlam,9
17,color,False,False,False,True,False,False,none,80,Adlam,9
17,leftright,True,True,False,False,False,True,none,80,Adlam,9
18,circle,False,True,False,False,False,False,specific,38,Batak,6
18,color,True,True,False,True,False,False,specific,38,Batak,6
18,leftright,True,True,False,False,False,False,specific,38,Batak,6
19,circle,False,True,False,False,False,False,horizontal,27,Batak,3
19,color,True,True,False,False,False,True,horizontal,27,Batak,3
19,leftright,False,True,False,False,False,False,horizontal,27,Batak,3
20,circle,False,False,False,False,True,False,symmetry,24,Batak,3
20,color,True,True,False,False,False,False,symmetry,24,Batak,3
20,leftright,True,False,False,True,False,False,symmetry,24,Batak,3
21,circle,False,False,False,True,False,False,symmetry,58,Batak,7
21,color,False,False,True,False,False,False,symmetry,58,Batak,7
21,leftright,False,False,True,False,False,False,symmetry,58,Batak,7
22,circle,False,True,False,False,False,False,stroke,41,Batak,3
22,color,False,False,False,False,False,False,stroke,41,Batak,3
22,leftright,False,True,False,False,False,False,stroke,41,Batak,3
23,circle,False,True,True,False,False,True,stroke,74,Batak,5
23,color,False,True,False,False,False,False,stroke,74,Batak,5
23,leftright,False,False,False,False,False,False,stroke,74,Batak,5
24,circle,False,False,False,False,False,False,stroke,72,Batak,6
24,color,False,True,False,True,False,False,stroke,72,Batak,6
24,leftright,False,False,True,False,False,False,stroke,72,Batak,6
25,circle,True,True,True,False,False,True,stroke,74,Batak,6
25,color,True,True,True,False,False,True,stroke,74,Batak,6
25,leftright,True,True,True,False,False,True,stroke,74,Batak,6
26,circle,False,False,False,False,False,False,none,88,Kayah Li,8
26,color,True,False,False,False,False,True,none,88,Kayah Li,8
26,leftright,False,True,False,True,False,False,none,88,Kayah Li,8
27,circle,False,False,False,False,False,False,symmetry,70,Kayah Li,6
27,color,True,True,False,False,False,False,symmetry,70,Kayah Li,6
27,leftright,False,False,False,False,True,True,symmetry,70,Kayah Li,6
28,circle,True,False,True,False,False,True,enclosed,36,Kayah Li,3
28,color,True,False,False,False,False,False,enclosed,36,Kayah Li,3
28,leftright,True,False,False,True,False,False,enclosed,36,Kayah Li,3
29,circle,False,False,False,False,True,False,symmetry,56,Kayah Li,5
29,color,False,False,False,False,False,False,symmetry,56,Kayah Li,5
29,leftright,False,False,True,False,False,True,symmetry,56,Kayah Li,5
30,circle,True,True,True,False,True,True,specific,26,Kayah Li,4
30,color,True,True,True,False,True,True,specific,26,Kayah Li,4
30,leftright,True,True,True,True,True,True,specific,26,Kayah Li,4
31,circle,True,True,False,False,False,True,none,65,Kayah Li,7
31,color,True,True,False,True,False,False,none,65,Kayah Li,7
31,leftright,True,True,False,False,True,False,none,65,Kayah Li,7
32,circle,False,True,False,False,False,False,horizontal,66,Kayah Li,7
32,color,False,False,False,False,False,False,horizontal,66,Kayah Li,7
32,leftright,False,True,False,False,False,False,horizontal,66,Kayah Li,7
33,circle,False,False,False,True,True,False,vertical,40,Kayah Li,5
33,color,False,False,True,False,False,True,vertical,40,Kayah Li,5
33,leftright,True,True,False,False,True,False,vertical,40,Kayah Li,5
34,circle,True,True,True,False,False,False,enclosed,67,Kayah Li,6
34,color,False,True,False,False,False,False,enclosed,67,Kayah Li,6
34,leftright,False,False,True,False,False,True,enclosed,67,Kayah Li,6
35,circle,True,True,False,True,False,False,none,50,Ogham,5
35,color,True,True,True,False,False,True,none,50,Ogham,5
35,leftright,True,True,False,False,False,True,none,50,Ogham,5
36,circle,False,True,False,False,False,False,diagonal,52,Ogham,6
36,color,True,True,False,False,False,True,diagonal,52,Ogham,6
36,leftright,False,True,False,True,False,False,diagonal,52,Ogham,6
37,circle,False,True,False,False,True,False,diagonal,34,Ogham,5
37,color,False,True,True,False,True,True,diagonal,34,Ogham,5
37,leftright,True,True,False,False,False,False,diagonal,34,Ogham,5
38,circle,False,True,True,False,False,False,vertical,53,Ogham,6
38,color,True,True,True,False,False,False,vertical,53,Ogham,6
38,leftright,True,True,False,False,False,False,vertical,53,Ogham,6
39,circle,True,True,False,False,True,True,vertical,36,Ogham,3
39,color,True,True,True,True,True,True,vertical,36,Ogham,3
39,leftright,True,True,True,False,False,True,vertical,36,Ogham,3
40,circle,False,False,False,True,True,False,vertical,38,Ogham,3
40,color,False,False,False,False,True,False,vertical,38,Ogham,3
40,leftright,False,False,False,False,True,False,vertical,38,Ogham,3
41,circle,False,True,False,False,False,True,vertical,36,Ogham,4
41,color,False,False,True,False,False,True,vertical,36,Ogham,4
41,leftright,False,False,True,False,False,True,vertical,36,Ogham,4
42,circle,False,True,False,True,False,True,none,33,Cherokee,4
42,color,False,True,False,False,True,False,none,33,Cherokee,4
42,leftright,False,False,False,False,False,True,none,33,Cherokee,4
43,circle,True,True,False,False,False,True,specific,45,Cherokee,5
43,color,True,True,False,False,False,True,specific,45,Cherokee,5
43,leftright,True,True,False,False,True,True,specific,45,Cherokee,5
44,circle,True,True,True,False,True,True,enclosed,41,Cherokee,4
44,color,True,True,True,True,True,False,enclosed,41,Cherokee,4
44,leftright,True,False,False,False,False,True,enclosed,41,Cherokee,4
45,circle,False,True,True,False,True,True,specific,60,Cherokee,7
45,color,False,True,True,False,False,True,specific,60,Cherokee,7
45,leftright,True,True,True,False,True,True,specific,60,Cherokee,7
46,circle,True,True,True,True,True,True,specific,51,Cherokee,4
46,color,False,True,True,False,True,True,specific,51,Cherokee,4
46,leftright,True,True,True,False,True,True,specific,51,Cherokee,4
47,circle,True,True,True,False,False,False,specific,82,Cherokee,5
47,color,True,True,True,False,False,True,specific,82,Cherokee,5
47,leftright,True,True,False,False,False,True,specific,82,Cherokee,5
48,circle,False,True,False,False,False,False,enclosed,29,Cherokee,3
48,color,False,True,False,False,False,False,enclosed,29,Cherokee,3
48,leftright,False,True,True,False,False,True,enclosed,29,Cherokee,3
49,circle,True,True,False,False,False,True,none,34,Cherokee,4
49,color,True,True,False,False,False,False,none,34,Cherokee,4
49,leftright,True,False,False,False,False,False,none,34,Cherokee,4
50,circle,True,True,True,False,True,True,enclosed,49,Cherokee,5
50,color,True,True,True,False,True,True,enclosed,49,Cherokee,5
50,leftright,True,True,True,True,False,True,enclosed,49,Cherokee,5
51,circle,False,True,False,False,True,False,none,91,Bamum,9
51,color,False,False,False,True,False,False,none,91,Bamum,9
51,leftright,False,False,True,False,False,False,none,91,Bamum,9
52,circle,False,True,False,False,False,False,cross,18,Bamum,2
52,color,False,True,False,False,False,False,cross,18,Bamum,2
52,leftright,False,True,False,False,False,False,cross,18,Bamum,2
53,circle,False,False,False,False,True,False,none,19,Bamum,3
53,color,True,True,False,True,False,False,none,19,Bamum,3
53,leftright,False,False,False,False,False,False,none,19,Bamum,3
54,circle,False,False,True,False,False,False,none,12,Bamum,3
54,color,True,False,False,True,False,False,none,12,Bamum,3
54,leftright,False,False,True,False,False,False,none,12,Bamum,3
55,circle,False,True,False,True,False,False,none,21,Bamum,4
55,color,True,True,True,False,False,True,none,21,Bamum,4
55,leftright,False,True,False,False,False,False,none,21,Bamum,4
56,circle,False,False,False,False,False,True,none,24,Bassa Vah,3
56,color,True,True,False,False,False,True,none,24,Bassa Vah,3
56,leftright,False,True,True,False,False,True,none,24,Bassa Vah,3
57,circle,True,True,False,False,True,True,enclosed,20,Bassa Vah,3
57,color,True,True,False,False,True,False,enclosed,20,Bassa Vah,3
57,leftright,True,True,False,False,True,False,enclosed,20,Bassa Vah,3
58,circle,True,True,False,False,False,False,diagonal,36,Bassa Vah,4
58,color,True,True,False,False,True,True,diagonal,36,Bassa Vah,4
58,leftright,True,True,False,False,False,False,diagonal,36,Bassa Vah,4
59,circle,True,True,False,False,True,False,none,47,Bassa Vah,4
59,color,True,True,False,False,False,False,none,47,Bassa Vah,4
59,leftright,True,True,False,False,False,False,none,47,Bassa Vah,4
60,circle,False,False,False,False,False,False,none,44,Bassa Vah,5
60,color,False,True,True,False,False,True,none,44,Bassa Vah,5
60,leftright,False,True,True,False,False,True,none,44,Bassa Vah,5
61,circle,False,True,False,False,False,False,none,94,Bassa Vah,5
61,color,True,False,False,True,False,False,none,94,Bassa Vah,5
61,leftright,False,True,False,True,False,False,none,94,Bassa Vah,5
62,circle,False,False,False,True,False,False,none,18,Bassa Vah,3
62,color,False,True,False,False,False,False,none,18,Bassa Vah,3
62,leftright,False,True,False,False,False,False,none,18,Bassa Vah,3
63,circle,False,False,False,False,False,False,horizontal,36,Bassa Vah,5
63,color,False,False,False,False,False,False,horizontal,36,Bassa Vah,5
63,leftright,True,False,False,False,False,False,horizontal,36,Bassa Vah,5
64,circle,True,False,False,True,False,True,none,49,Buginese,4
64,color,True,False,False,True,False,True,none,49,Buginese,4
64,leftright,False,False,False,True,False,True,none,49,Buginese,4
65,circle,True,True,True,True,False,True,none,44,Buginese,4
65,color,True,True,True,True,True,True,none,44,Buginese,4
65,leftright,True,True,True,True,True,True,none,44,Buginese,4
66,circle,False,False,False,False,False,False,none,47,Buginese,5
66,color,False,True,False,False,True,False,none,47,Buginese,5
66,leftright,True,True,True,False,False,False,none,47,Buginese,5
67,circle,False,True,False,False,True,False,symmetry,22,Gothic,3
67,color,False,True,False,False,False,False,symmetry,22,Gothic,3
67,leftright,True,True,False,False,False,False,symmetry,22,Gothic,3
68,circle,False,True,False,False,False,False,none,27,Gothic,3
68,color,False,False,False,True,False,False,none,27,Gothic,3
68,leftright,False,False,False,False,False,False,none,27,Gothic,3
69,circle,False,False,False,False,False,True,horizontal,30,Gothic,3
69,color,False,True,False,False,True,True,horizontal,30,Gothic,3
69,leftright,True,False,False,False,True,False,horizontal,30,Gothic,3
70,circle,False,True,False,False,False,False,stroke,28,Gothic,4
70,color,False,False,False,False,False,False,stroke,28,Gothic,4
70,leftright,False,False,False,False,False,False,stroke,28,Gothic,4
71,circle,False,False,False,False,True,False,vertical,46,Grantha,5
71,color,False,False,False,True,False,False,vertical,46,Grantha,5
71,leftright,True,False,False,True,False,False,vertical,46,Grantha,5
72,circle,True,False,True,False,False,False,enclosed,41,Grantha,3
72,color,False,False,False,True,False,False,enclosed,41,Grantha,3
72,leftright,False,False,True,False,False,False,enclosed,41,Grantha,3
73,circle,False,False,False,False,False,False,none,141,Grantha,12
73,color,False,False,False,True,False,False,none,141,Grantha,12
73,leftright,True,True,False,False,False,False,none,141,Grantha,12
74,circle,False,False,True,False,False,True,vertical,38,Grantha,5
74,color,True,False,False,False,True,False,vertical,38,Grantha,5
74,leftright,True,False,False,False,False,False,vertical,38,Grantha,5
75,circle,False,True,False,False,False,False,specific,20,Grantha,4
75,color,False,True,True,False,True,False,specific,20,Grantha,4
75,leftright,False,True,True,False,True,False,specific,20,Grantha,4
76,circle,False,False,True,False,False,True,symmetry,26,Grantha,3
76,color,False,False,False,False,False,False,symmetry,26,Grantha,3
76,leftright,False,False,False,False,False,False,symmetry,26,Grantha,3
77,circle,False,False,False,True,True,True,specific,107,Grantha,8
77,color,False,False,True,False,True,True,specific,107,Grantha,8
77,leftright,True,False,False,False,True,True,specific,107,Grantha,8
78,circle,False,False,False,False,True,False,specific,44,Grantha,5
78,color,False,False,True,False,True,True,specific,44,Grantha,5
78,leftright,False,False,True,False,False,False,specific,44,Grantha,5
79,circle,False,False,False,False,False,False,specific,24,Grantha,3
