rule_id,visual,answer,most_frequent_output,correctness
100,circle,C,C,True
100,color,B,B,True
103,color,D,B,False
130,color,C,A,False
130,leftright,C,D,False
131,circle,C,B,False
131,color,A,D,False
131,leftright,A,C,False
132,circle,D,A,False
132,color,D,B,False
132,leftright,A,B,False
13,circle,C,B,False
13,color,A,D,False
103,leftright,C,C,True
13,leftright,A,A,True
146,circle,C,C,True
146,color,A,A,True
146,leftright,C,C,True
147,circle,D,A,False
147,color,A,A,True
147,leftright,B,B,True
148,circle,D,D,True
148,color,D,C,False
148,leftright,B,B,True
104,circle,A,A,True
149,circle,A,B,False
149,color,D,C,False
149,leftright,B,B,True
14,circle,C,A,False
14,color,C,A,False
14,leftright,C,C,True
150,circle,D,D,True
150,color,A,A,True
150,leftright,C,C,True
151,circle,C,C,True
104,color,B,B,True
151,color,A,A,True
151,leftright,D,B,False
152,circle,A,A,True
152,color,B,A,False
152,leftright,D,B,False
153,circle,C,A,False
153,color,B,C,False
153,leftright,B,B,True
154,circle,A,A,True
154,color,A,A,True
104,leftright,B,B,True
154,leftright,C,C,True
155,circle,D,B,False
155,color,C,A,False
155,leftright,D,A,False
156,circle,C,A,False
156,color,B,B,True
156,leftright,D,D,True
157,circle,B,B,True
157,color,D,B,False
157,leftright,A,A,True
105,circle,A,B,False
158,circle,B,B,True
158,color,A,A,True
158,leftright,D,D,True
159,circle,C,B,False
159,color,A,A,True
159,leftright,A,B,False
15,circle,C,C,True
15,color,D,B,False
15,leftright,D,D,True
160,circle,B,B,True
105,color,A,B,False
160,color,B,C,False
160,leftright,C,D,False
161,circle,D,A,False
161,color,D,A,False
161,leftright,C,B,False
162,circle,A,A,True
162,color,A,A,True
162,leftright,B,B,True
163,circle,A,B,False
163,color,A,D,False
105,leftright,D,B,False
163,leftright,D,C,False
164,circle,D,D,True
164,color,D,D,True
164,leftright,B,B,True
165,circle,B,C,False
165,color,A,A,True
165,leftright,A,B,False
166,circle,D,A,False
166,color,A,A,True
166,leftright,B,B,True
106,circle,D,B,False
167,circle,D,D,True
167,color,B,B,True
167,leftright,B,B,True
168,circle,B,B,True
168,color,A,A,True
168,leftright,B,A,False
169,circle,C,B,False
169,color,B,B,True
169,leftright,C,C,True
16,circle,A,A,True
106,color,D,D,True
16,color,A,D,False
16,leftright,D,B,False
170,circle,C,A,False
170,color,D,D,True
170,leftright,C,C,True
171,circle,C,C,True
171,color,C,C,True
171,leftright,A,A,True
172,circle,D,B,False
172,color,B,A,False
100,leftright,B,B,True
106,leftright,B,A,False
172,leftright,C,C,True
173,circle,A,A,True
173,color,A,A,True
173,leftright,C,C,True
174,circle,B,B,True
174,color,D,A,False
174,leftright,C,C,True
175,circle,D,A,False
175,color,D,C,False
175,leftright,A,D,False
107,circle,C,C,True
176,circle,A,A,True
176,color,C,C,True
176,leftright,B,B,True
177,circle,B,C,False
177,color,B,A,False
177,leftright,D,B,False
178,circle,B,B,True
178,color,A,A,True
178,leftright,C,A,False
179,circle,B,D,False
107,color,A,A,True
179,color,D,B,False
179,leftright,C,B,False
17,circle,D,C,False
17,color,D,C,False
17,leftright,B,B,True
180,circle,C,C,True
180,color,A,A,True
180,leftright,A,A,True
181,circle,C,C,True
181,color,D,D,True
107,leftright,B,B,True
181,leftright,C,C,True
182,circle,A,A,True
182,color,A,B,False
182,leftright,A,A,True
183,circle,D,A,False
183,color,B,C,False
183,leftright,B,A,False
184,circle,C,D,False
184,color,C,D,False
184,leftright,D,B,False
108,circle,C,A,False
185,circle,A,A,True
185,color,C,C,True
185,leftright,B,D,False
186,circle,A,A,True
186,color,B,B,True
186,leftright,D,A,False
187,circle,C,A,False
187,color,A,A,True
187,leftright,B,B,True
188,circle,B,C,False
108,color,A,B,False
188,color,B,B,True
188,leftright,D,D,True
189,circle,B,A,False
189,color,A,B,False
189,leftright,B,A,False
18,circle,C,C,True
18,color,D,D,True
18,leftright,D,D,True
190,circle,B,C,False
190,color,D,B,False
108,leftright,B,A,False
190,leftright,B,B,True
191,circle,B,A,False
191,color,A,A,True
191,leftright,D,D,True
192,circle,C,C,True
192,color,B,B,True
192,leftright,D,A,False
193,circle,B,A,False
193,color,C,A,False
193,leftright,C,A,False
109,circle,D,D,True
194,circle,C,D,False
194,color,C,D,False
194,leftright,D,C,False
195,circle,A,B,False
195,color,B,A,False
195,leftright,A,A,True
196,circle,A,A,True
196,color,A,A,True
196,leftright,C,C,True
197,circle,A,A,True
109,color,A,A,True
197,color,B,B,True
197,leftright,A,A,True
198,circle,D,D,True
198,color,A,A,True
198,leftright,C,C,True
199,circle,A,B,False
199,color,C,B,False
199,leftright,B,D,False
19,circle,A,A,True
19,color,D,D,True
109,leftright,A,A,True
19,leftright,C,C,True
200,circle,D,C,False
200,color,C,C,True
200,leftright,C,C,True
201,circle,D,D,True
201,color,B,B,True
201,leftright,D,D,True
202,circle,D,D,True
202,color,C,C,True
202,leftright,B,B,True
101,circle,B,B,True
10,circle,D,B,False
203,circle,C,C,True
203,color,D,D,True
203,leftright,B,B,True
204,circle,B,C,False
204,color,A,D,False
204,leftright,A,B,False
205,circle,C,C,True
205,color,B,D,False
205,leftright,A,B,False
206,circle,A,A,True
10,color,B,D,False
206,color,D,A,False
206,leftright,B,B,True
207,circle,D,D,True
207,color,D,D,True
207,leftright,D,D,True
208,circle,C,B,False
208,color,A,C,False
208,leftright,C,C,True
209,circle,B,B,True
209,color,A,A,True
10,leftright,B,C,False
209,leftright,B,B,True
20,circle,B,A,False
20,color,B,B,True
20,leftright,C,B,False
210,circle,A,A,True
210,color,C,C,True
210,leftright,B,B,True
211,circle,D,B,False
211,color,B,A,False
211,leftright,C,B,False
110,circle,D,D,True
212,circle,A,A,True
212,color,A,A,True
212,leftright,B,B,True
213,circle,A,A,True
213,color,B,B,True
213,leftright,D,D,True
214,circle,C,B,False
214,color,B,A,False
214,leftright,C,B,False
215,circle,B,B,True
110,color,A,A,True
215,color,C,C,True
215,leftright,A,B,False
216,circle,C,B,False
216,color,A,A,True
216,leftright,A,D,False
217,circle,A,B,False
217,color,C,B,False
217,leftright,D,A,False
218,circle,C,B,False
